county,number_of_md,population_by_cty,"md_rate_per_100,000"
"Monroe County, AR",7,6683,104.74
"Montgomery County, AR",6,8611,69.68
"Nevada County, AR",2,8187,24.43
"Newton County, AR",2,7204,27.76
"Ouachita County, AR",21,22306,94.15
"Perry County, AR",5,9964,50.18
"Phillips County, AR",20,15906,125.74
"Pike County, AR",8,10066,79.48
"Poinsett County, AR",5,22660,22.07
"Polk County, AR",30,19353,155.01
"Pope County, AR",111,63789,174.01
"Prairie County, AR",2,8135,24.59
"Pulaski County, AR",3603,397821,905.68
"Randolph County, AR",18,18865,95.41
"Saline County, AR",175,125233,139.74
"Scott County, AR",4,9822,40.72
"Searcy County, AR",4,7880,50.76
"Sebastian County, AR",478,128400,372.27
"Sevier County, AR",9,15783,57.02
"Sharp County, AR",5,17622,28.37
"St. Francis County, AR",21,22739,92.35
"Stone County, AR",8,12481,64.1
"Union County, AR",75,38340,195.62
"Van Buren County, AR",10,15694,63.72
"Washington County, AR",735,250057,293.93
"White County, AR",182,77207,235.73
"Woodruff County, AR",3,6116,49.05
"Yell County, AR",25,20155,124.04
"Alameda County, CA",7111,1648556,431.35
"Alpine County, CA",2,1235,161.94
"Amador County, CA",74,41259,179.35
"Butte County, CA",558,208309,267.87
"Calaveras County, CA",61,46221,131.97
"Colusa County, CA",12,21917,54.75
"Contra Costa County, CA",4563,1161413,392.88
"Del Norte County, CA",41,28100,145.91
"El Dorado County, CA",585,193221,302.76
"Fresno County, CA",2569,1013581,253.46
"Glenn County, CA",12,28805,41.66
"Humboldt County, CA",339,136310,248.7
"Imperial County, CA",166,179851,92.3
"Inyo County, CA",56,18970,295.2
"Kern County, CA",1394,917673,151.91
"Kings County, CA",165,153443,107.53
"Lake County, CA",78,68766,113.43
"Lassen County, CA",31,33159,93.49
"Los Angeles County, CA",39004,9829544,396.8
"Madera County, CA",244,159410,153.06
"Marin County, CA",2216,260206,851.63
"Mariposa County, CA",14,17147,81.65
"Mendocino County, CA",237,91305,259.57
"Merced County, CA",300,286461,104.73
"Modoc County, CA",7,8661,80.82
"Mono County, CA",35,13247,264.21
"Monterey County, CA",1205,437325,275.54
"Napa County, CA",648,136207,475.75
"Nevada County, CA",310,103487,299.55
"Orange County, CA",14266,3167809,450.34
"Placer County, CA",1729,412300,419.35
"Plumas County, CA",32,19915,160.68
"Riverside County, CA",4393,2458395,178.69
"Sacramento County, CA",6316,1588921,397.5
"San Benito County, CA",54,66677,80.99
"San Bernardino County, CA",5361,2194710,244.27
"San Diego County, CA",14942,3286069,454.71
"San Francisco County, CA",8505,815201,1043.3
"San Joaquin County, CA",1529,789410,193.69
"San Luis Obispo County, CA",1094,283159,386.36
"San Mateo County, CA",4593,737888,622.45
"Santa Barbara County, CA",1649,446475,369.34
"Santa Clara County, CA",10462,1885508,554.86
"Santa Cruz County, CA",946,267792,353.26
"Shasta County, CA",499,182139,273.97
"Sierra County, CA",0,3283,0
"Siskiyou County, CA",95,44118,215.33
"Solano County, CA",1199,451716,265.43
"Sonoma County, CA",1922,485887,395.57
"Stanislaus County, CA",1110,552999,200.72
"Sutter County, CA",226,99063,228.14
"Tehama County, CA",75,65498,114.51
"Trinity County, CA",11,16060,68.49
"Tulare County, CA",711,477054,149.04
"Tuolumne County, CA",141,55810,252.64
"Ventura County, CA",2613,839784,311.15
"Yolo County, CA",1000,216986,460.86
"Yuba County, CA",57,83421,68.33
"Adams County, CO",1887,522140,361.4
"Alamosa County, CO",45,16547,271.95
"Arapahoe County, CO",2566,654900,391.82
"Archuleta County, CO",36,13790,261.06
"Baca County, CO",4,3514,113.83
"Bent County, CO",1,5759,17.36
"Boulder County, CO",1513,329543,459.12
"Broomfield County, CO",232,75325,308
"Chaffee County, CO",77,20074,383.58
"Cheyenne County, CO",1,1707,58.58
"Clear Creek County, CO",3,9446,31.76
"Conejos County, CO",8,7612,105.1
"Costilla County, CO",1,3625,27.59
"Crowley County, CO",1,6012,16.63
"Custer County, CO",5,5045,99.11
"Delta County, CO",56,31661,176.87
"Denver County, CO",5113,711463,718.66
"Dolores County, CO",0,2397,0
"Douglas County, CO",1020,368990,276.43
"Eagle County, CO",244,55727,437.85
"El Paso County, CO",2087,737867,282.84
"Elbert County, CO",11,27128,40.55
"Fremont County, CO",55,49661,110.75
"Garfield County, CO",184,62161,296.01
"Gilpin County, CO",4,5873,68.11
"Grand County, CO",27,15860,170.24
"Gunnison County, CO",46,17281,266.19
"Hinsdale County, CO",5,781,640.2
"Huerfano County, CO",15,6920,216.76
"Jackson County, CO",1,1363,73.37
"Jefferson County, CO",1789,579581,308.67
"Kiowa County, CO",1,1452,68.87
"Kit Carson County, CO",3,6950,43.17
"La Plata County, CO",313,56250,556.44
"Lake County, CO",8,7407,108.01
"Larimer County, CO",1194,362533,329.35
"Las Animas County, CO",27,14633,184.51
"Lincoln County, CO",5,5688,87.9
"Logan County, CO",24,21487,111.7
"Mesa County, CO",595,157335,378.17
"Mineral County, CO",2,924,216.45
"Moffat County, CO",11,13185,83.43
"Montezuma County, CO",66,26175,252.15
"Montrose County, CO",119,43168,275.67
"Morgan County, CO",32,29008,110.31
"Otero County, CO",23,18594,123.7
"Ouray County, CO",24,5035,476.66
"Park County, CO",7,17720,39.5
"Phillips County, CO",5,4512,110.82
"Pitkin County, CO",88,17348,507.26
"Prowers County, CO",9,11996,75.03
"Pueblo County, CO",438,169622,258.22
"Rio Blanco County, CO",11,6476,169.86
"Rio Grande County, CO",18,11408,157.78
"Routt County, CO",131,25091,522.1
"Saguache County, CO",9,6471,139.08
"San Juan County, CO",2,733,272.85
