county,number_of_md,population_by_cty,"md_rate_per_100,000"
"Elkhart County, IN",335,206921,161.9
"Fayette County, IN",16,23360,68.49
"Floyd County, IN",182,80454,226.22
"Fountain County, IN",8,16427,48.7
"Franklin County, IN",48,22842,210.14
"Fulton County, IN",16,20386,78.49
"Gibson County, IN",21,32924,63.78
"Grant County, IN",96,66263,144.88
"Greene County, IN",15,30786,48.72
"Hamilton County, IN",2340,356650,656.11
"Hancock County, IN",216,81789,264.09
"Harrison County, IN",41,39761,103.12
"Hendricks County, IN",332,179355,185.11
"Henry County, IN",60,48935,122.61
"Howard County, IN",163,83687,194.77
"Huntington County, IN",52,36717,141.62
"Jackson County, IN",81,46067,175.83
"Jasper County, IN",12,33091,36.26
"Jay County, IN",12,20248,59.27
"Jefferson County, IN",64,33141,193.11
"Jennings County, IN",15,27409,54.73
"Johnson County, IN",372,164298,226.42
"Knox County, IN",94,35956,261.43
"Kosciusko County, IN",91,80106,113.6
"La Porte County, IN",166,112390,147.7
"Lagrange County, IN",21,40524,51.82
"Lake County, IN",1028,498558,206.19
"Lawrence County, IN",53,45070,117.59
"Madison County, IN",186,130782,142.22
"Marion County, IN",5103,971102,525.49
"Marshall County, IN",44,46121,95.4
"Martin County, IN",3,9780,30.67
"Miami County, IN",25,36081,69.29
"Monroe County, IN",445,139875,318.14
"Montgomery County, IN",38,38063,99.83
"Morgan County, IN",79,72206,109.41
"Newton County, IN",3,13808,21.73
"Noble County, IN",29,47227,61.41
"Ohio County, IN",1,5978,16.73
"Orange County, IN",17,19830,85.73
"Owen County, IN",10,21446,46.63
"Parke County, IN",10,16407,60.95
"Perry County, IN",17,19316,88.01
"Pike County, IN",7,12144,57.64
"Porter County, IN",361,174243,207.18
"Posey County, IN",12,25116,47.78
"Pulaski County, IN",9,12339,72.94
"Putnam County, IN",24,36979,64.9
"Randolph County, IN",13,24387,53.31
"Ripley County, IN",3,29081,10.32
"Rush County, IN",18,16672,107.97
"Scott County, IN",16,24355,65.69
"Shelby County, IN",43,45039,95.47
"Spencer County, IN",8,19798,40.41
"St. Joseph County, IN",884,272212,324.75
"Starke County, IN",10,23372,42.79
"Steuben County, IN",34,34632,98.18
"Sullivan County, IN",14,20758,67.44
"Switzerland County, IN",1,9790,10.21
"Tippecanoe County, IN",500,187076,267.27
"Tipton County, IN",12,15372,78.06
"Union County, IN",2,7047,28.38
"Vanderburgh County, IN",613,179987,340.58
"Vermillion County, IN",18,15341,117.33
"Vigo County, IN",345,105994,325.49
"Wabash County, IN",30,30816,97.35
"Warren County, IN",2,8475,23.6
"Warrick County, IN",363,64514,562.67
"Washington County, IN",17,28102,60.49
"Wayne County, IN",169,66456,254.3
"Wells County, IN",44,28197,156.05
"White County, IN",13,24651,52.74
"Whitley County, IN",29,34430,84.23
"Adair County, IA",2,7541,26.52
"Adams County, IA",2,3641,54.93
"Allamakee County, IA",12,13926,86.17
"Appanoose County, IA",9,12257,73.43
"Audubon County, IA",1,5635,17.75
"Benton County, IA",4,25691,15.57
"Black Hawk County, IA",351,130368,269.24
"Boone County, IA",23,26723,86.07
"Bremer County, IA",21,25081,83.73
"Buchanan County, IA",11,20657,53.25
"Buena Vista County, IA",18,20771,86.66
"Butler County, IA",7,14332,48.84
"Calhoun County, IA",7,9915,70.6
"Carroll County, IA",35,20692,169.15
"Cass County, IA",14,13050,107.28
"Cedar County, IA",8,18410,43.45
"Cerro Gordo County, IA",205,42706,480.03
"Cherokee County, IA",11,11503,95.63
"Chickasaw County, IA",7,11887,58.89
"Clarke County, IA",5,9785,51.1
"Clay County, IA",33,16440,200.73
"Clayton County, IA",9,16998,52.95
"Clinton County, IA",67,46463,144.2
"Crawford County, IA",11,16193,67.93
"Dallas County, IA",79,103796,76.11
"Davis County, IA",3,9138,32.83
"Decatur County, IA",6,7659,78.34
"Delaware County, IA",17,17510,97.09
"Des Moines County, IA",104,38491,270.19
"Dickinson County, IA",32,17851,179.26
"Dubuque County, IA",277,98718,280.6
"Emmet County, IA",7,9321,75.1
"Fayette County, IA",12,19258,62.31
"Floyd County, IA",9,15413,58.39
"Franklin County, IA",0,9952,0
"Fremont County, IA",2,6567,30.46
"Greene County, IA",8,8717,91.77
"Grundy County, IA",5,12347,40.5
"Guthrie County, IA",5,10567,47.32
"Hamilton County, IA",11,14887,73.89
"Hancock County, IA",3,10663,28.13
"Hardin County, IA",11,16708,65.84
"Harrison County, IA",8,14669,54.54
"Henry County, IA",25,20387,122.63
"Howard County, IA",7,9478,73.86
"Humboldt County, IA",3,9634,31.14
"Ida County, IA",3,6956,43.13
"Iowa County, IA",14,16568,84.5
"Jackson County, IA",10,19368,51.63
"Jasper County, IA",22,37764,58.26
"Jefferson County, IA",27,15647,172.56
"Johnson County, IA",2624,154748,1695.66
"Jones County, IA",10,20805,48.07
"Keokuk County, IA",3,9914,30.26
"Kossuth County, IA",10,14529,68.83
"Lee County, IA",43,33215,129.46
"Linn County, IA",542,228939,236.74
"Louisa County, IA",2,10749,18.61
"Lucas County, IA",3,8710,34.44
"Lyon County, IA",5,12011,41.63
"Madison County, IA",6,16773,35.77
"Mahaska County, IA",24,21984,109.17
"Marion County, IA",36,33380,107.85
"Marshall County, IA",49,39853,122.95
"Mills County, IA",12,14465,82.96
"Mitchell County, IA",2,10555,18.95
"Monona County, IA",9,8574,104.97
"Monroe County, IA",1,7610,13.14
"Montgomery County, IA",10,10322,96.88
"Muscatine County, IA",26,42688,60.91
"O'Brien County, IA",11,14015,78.49
"Osceola County, IA",2,6159,32.47
"Page County, IA",21,15197,138.19
"Palo Alto County, IA",8,8906,89.83
"Plymouth County, IA",17,25650,66.28
"Pocahontas County, IA",2,7074,28.27
"Polk County, IA",1363,496844,274.33
"Pottawattamie County, IA",135,93304,144.69
"Poweshiek County, IA",33,18586,177.55
"Ringgold County, IA",5,4639,107.78
"Sac County, IA",6,9752,61.53
"Scott County, IA",534,174170,306.6
"Shelby County, IA",8,11770,67.97
"Sioux County, IA",41,35893,114.23
"Story County, IA",229,99472,230.22
"Tama County, IA",5,16867,29.64
"Taylor County, IA",3,5868,51.12
"Union County, IA",15,12018,124.81
"Van Buren County, IA",3,7243,41.42
"Wapello County, IA",61,35256,173.02
"Warren County, IA",38,53402,71.16
"Washington County, IA",26,22491,115.6
"Wayne County, IA",4,6508,61.46
"Webster County, IA",62,37147,166.9
"Winnebago County, IA",5,10656,46.92
"Winneshiek County, IA",45,19892,226.22
"Woodbury County, IA",221,105607,209.27
"Worth County, IA",0,7385,0
"Wright County, IA",6,12785,46.93
"Allen County, KS",9,12464,72.21
"Anderson County, KS",9,7778,115.71
"Atchison County, KS",15,16239,92.37
"Barber County, KS",4,4110,97.32
"Barton County, KS",36,25216,142.77
"Bourbon County, KS",19,14323,132.65
"Brown County, KS",10,9455,105.76
"Butler County, KS",129,67889,190.02
"Chase County, KS",0,2598,0
"Chautauqua County, KS",0,3395,0
"Cherokee County, KS",8,19130,41.82
"Cheyenne County, KS",1,2633,37.98
"Clark County, KS",6,1977,303.49
"Clay County, KS",15,8077,185.71
"Cloud County, KS",9,8928,100.81
"Coffey County, KS",8,8338,95.95
"Comanche County, KS",2,1670,119.76
"Cowley County, KS",29,34496,84.07
"Crawford County, KS",58,39110,148.3
"Decatur County, KS",2,2751,72.7
"Dickinson County, KS",12,18459,65.01
"Doniphan County, KS",6,7471,80.31
"Douglas County, KS",368,119363,308.3
"Edwards County, KS",1,2832,35.31
"Elk County, KS",1,2441,40.97
"Ellis County, KS",79,28790,274.4
"Ellsworth County, KS",4,6336,63.13
"Finney County, KS",55,38107,144.33
"Ford County, KS",41,34159,120.03
"Franklin County, KS",20,25986,76.96
"Geary County, KS",37,35934,102.97
"Gove County, KS",6,2755,217.79
"Graham County, KS",3,2400,125
"Grant County, KS",6,7324,81.92
"Gray County, KS",1,5644,17.72
"Greeley County, KS",1,1304,76.69
"Greenwood County, KS",4,5939,67.35
"Hamilton County, KS",3,2484,120.77
"Harper County, KS",4,5331,75.03
"Harvey County, KS",70,33817,207
"Haskell County, KS",1,3668,27.26
"Hodgeman County, KS",3,1710,175.44
"Jackson County, KS",14,13261,105.57
"Jefferson County, KS",13,18411,70.61
"Jewell County, KS",1,2937,34.05
"Johnson County, KS",3832,613219,624.9
"Kearny County, KS",7,3891,179.9
"Kingman County, KS",3,7392,40.58
"Kiowa County, KS",2,2392,83.61
"Labette County, KS",36,19912,180.8
"Lane County, KS",1,1565,63.9
"Leavenworth County, KS",100,82184,121.68
"Lincoln County, KS",2,2903,68.89
"Linn County, KS",3,9747,30.78
"Logan County, KS",2,2722,73.48
"Lyon County, KS",46,31998,143.76
"Marion County, KS",11,11712,93.92
"Marshall County, KS",8,9979,80.17
"McPherson County, KS",36,30146,119.42
"Meade County, KS",1,4022,24.86
"Miami County, KS",46,34593,132.97
"Mitchell County, KS",7,5748,121.78
"Montgomery County, KS",28,31156,89.87
"Morris County, KS",7,5356,130.69
"Morton County, KS",4,2692,148.59
"Nemaha County, KS",14,10216,137.04
"Neosho County, KS",20,15784,126.71
"Ness County, KS",2,2672,74.85
"Norton County, KS",6,5342,112.32
"Osage County, KS",6,15768,38.05
"Osborne County, KS",0,3498,0
"Ottawa County, KS",7,5838,119.9
"Pawnee County, KS",20,6225,321.29
"Phillips County, KS",7,4815,145.38
"Pottawatomie County, KS",28,25790,108.57
"Pratt County, KS",16,9181,174.27
"Rawlins County, KS",3,2549,117.69
"Reno County, KS",127,61414,206.79
"Republic County, KS",5,4662,107.25
"Rice County, KS",6,9390,63.9
"Riley County, KS",171,72208,236.82
"Rooks County, KS",4,4831,82.8
"Rush County, KS",3,2953,101.59
"Russell County, KS",6,6703,89.51
"Saline County, KS",174,53888,322.89
"Scott County, KS",6,5131,116.94
"Sedgwick County, KS",1654,523828,315.75
"Seward County, KS",26,21747,119.56
"Shawnee County, KS",526,178264,295.07
"Sheridan County, KS",4,2478,161.42
"Sherman County, KS",4,5895,67.85
"Smith County, KS",8,3576,223.71
"Stafford County, KS",1,4034,24.79
"Stanton County, KS",1,2044,48.92
"Stevens County, KS",1,5293,18.89
"Sumner County, KS",9,22385,40.21
"Thomas County, KS",6,7877,76.17
"Trego County, KS",2,2793,71.61
"Wabaunsee County, KS",7,6966,100.49
"Wallace County, KS",1,1508,66.31
"Washington County, KS",5,5511,90.73
"Wichita County, KS",3,2082,144.09
"Wilson County, KS",10,8526,117.29
"Woodson County, KS",1,3102,32.24
"Wyandotte County, KS",762,167046,456.16
"Adair County, KY",14,18932,73.95
"Allen County, KY",7,20797,33.66
"Anderson County, KY",17,24035,70.73
"Ballard County, KY",1,7695,13
"Barren County, KY",103,44544,231.23
"Bath County, KY",7,12778,54.78
"Bell County, KY",38,23858,159.28
"Boone County, KY",200,137412,145.55
"Bourbon County, KY",28,20229,138.42
"Boyd County, KY",221,47899,461.39
"Boyle County, KY",101,30747,328.49
"Bracken County, KY",4,8439,47.4
"Breathitt County, KY",17,13553,125.43
"Breckinridge County, KY",11,20651,53.27
"Bullitt County, KY",37,82918,44.62
"Butler County, KY",2,12294,16.27
"Caldwell County, KY",10,12624,79.21
"Calloway County, KY",69,37560,183.71
"Campbell County, KY",207,93050,222.46
"Carlisle County, KY",1,4791,20.87
"Carroll County, KY",7,10863,64.44
"Carter County, KY",8,26412,30.29
"Casey County, KY",3,15866,18.91
"Christian County, KY",136,72357,187.96
"Clark County, KY",58,36871,157.31
"Clay County, KY",14,20206,69.29
"Clinton County, KY",8,9265,86.35
"Crittenden County, KY",5,8947,55.88
"Cumberland County, KY",4,5879,68.04
"Daviess County, KY",273,103063,264.89
"Edmonson County, KY",3,12291,24.41
"Elliott County, KY",1,7381,13.55
"Estill County, KY",7,14092,49.67
"Fayette County, KY",2892,321793,898.71
"Fleming County, KY",8,15224,52.55
"Floyd County, KY",57,35274,161.59
"Franklin County, KY",76,51682,147.05
"Fulton County, KY",5,6512,76.78
"Gallatin County, KY",5,8775,56.98
"Garrard County, KY",9,17362,51.84
"Grant County, KY",16,25244,63.38
"Graves County, KY",34,36615,92.86
"Grayson County, KY",40,26524,150.81
"Green County, KY",6,11291,53.14
"Greenup County, KY",31,35649,86.96
"Hancock County, KY",3,9064,33.1
"Hardin County, KY",238,111607,213.25
"Harlan County, KY",36,26164,137.59
"Harrison County, KY",30,18950,158.31
"Hart County, KY",9,19460,46.25
"Henderson County, KY",77,44329,173.7
"Henry County, KY",21,15657,134.13
"Hickman County, KY",0,4424,0
"Hopkins County, KY",135,45138,299.08
"Jackson County, KY",6,12984,46.21
"Jefferson County, KY",4451,777874,572.2
"Jessamine County, KY",183,53626,341.25
"Johnson County, KY",29,22556,128.57
"Kenton County, KY",551,169495,325.08
"Knott County, KY",8,14053,56.93
"Knox County, KY",14,29909,46.81
"Larue County, KY",3,15028,19.96
"Laurel County, KY",76,62561,121.48
"Lawrence County, KY",13,16290,79.8
"Lee County, KY",1,7451,13.42
"Leslie County, KY",5,10278,48.65
"Letcher County, KY",30,21253,141.16
"Lewis County, KY",5,12987,38.5
"Lincoln County, KY",16,24243,66
"Livingston County, KY",9,8959,100.46
"Logan County, KY",17,27771,61.21
"Lyon County, KY",4,8803,45.44
"Madison County, KY",139,94666,146.83
"Magoffin County, KY",4,11497,34.79
"Marion County, KY",22,19725,111.53
"Marshall County, KY",30,31748,94.49
"Martin County, KY",5,11140,44.88
"Mason County, KY",44,16931,259.88
"McCracken County, KY",289,67454,428.44
"McCreary County, KY",5,16892,29.6
"McLean County, KY",2,9100,21.98
"Meade County, KY",7,30131,23.23
"Menifee County, KY",3,6194,48.43
"Mercer County, KY",20,22850,87.53
"Metcalfe County, KY",4,10349,38.65
"Monroe County, KY",8,11233,71.22
"Montgomery County, KY",26,28219,92.14
"Morgan County, KY",6,13820,43.42
"Muhlenberg County, KY",28,30694,91.22
"Nelson County, KY",54,47098,114.65
"Nicholas County, KY",3,7712,38.9
"Ohio County, KY",12,23688,50.66
"Oldham County, KY",173,68685,251.87
"Owen County, KY",8,11294,70.83
"Owsley County, KY",0,3953,0
"Pendleton County, KY",6,14607,41.08
"Perry County, KY",82,27929,293.6
"Pike County, KY",168,57391,292.73
"Powell County, KY",5,13133,38.07
"Pulaski County, KY",155,65423,236.92
"Robertson County, KY",1,2257,44.31
"Rockcastle County, KY",15,16115,93.08
"Rowan County, KY",76,24861,305.7
"Russell County, KY",16,18156,88.13
"Scott County, KY",92,58252,157.93
"Shelby County, KY",68,48461,140.32
"Simpson County, KY",10,19718,50.72
"Spencer County, KY",18,19916,90.38
"Taylor County, KY",37,26235,141.03
"Todd County, KY",4,12285,32.56
"Trigg County, KY",8,14192,56.37
"Trimble County, KY",2,8530,23.45
"Union County, KY",8,13544,59.07
"Warren County, KY",373,137212,271.84
"Washington County, KY",6,12072,49.7
"Wayne County, KY",12,19540,61.41
"Webster County, KY",3,12813,23.41
"Whitley County, KY",84,36939,227.4
"Wolfe County, KY",5,6507,76.84
"Woodford County, KY",94,27075,347.18
"Acadia Parish, LA",48,57288,83.79
"Allen Parish, LA",13,22687,57.3
"Ascension Parish, LA",143,128369,111.4
"Assumption Parish, LA",4,20689,19.33
"Avoyelles Parish, LA",27,39236,68.81
"Beauregard Parish, LA",41,36584,112.07
"Bienville Parish, LA",4,12776,31.31
"Bossier Parish, LA",228,129144,176.55
"Caddo Parish, LA",2024,233092,868.33
"Calcasieu Parish, LA",518,205282,252.34
"Caldwell Parish, LA",7,9571,73.14
"Cameron Parish, LA",5,5080,98.43
"Catahoula Parish, LA",5,8805,56.79
"Claiborne Parish, LA",9,14038,64.11
"Concordia Parish, LA",14,18376,76.19
"De Soto Parish, LA",12,26919,44.58
"East Baton Rouge Parish, LA",2061,453301,454.66
"East Carroll Parish, LA",5,7220,69.25
"East Feliciana Parish, LA",20,19338,103.42
"Evangeline Parish, LA",40,32215,124.17
"Franklin Parish, LA",14,19668,71.18
"Grant Parish, LA",4,22236,17.99
"Iberia Parish, LA",107,68975,155.13
"Iberville Parish, LA",27,29824,90.53
"Jackson Parish, LA",6,14876,40.33
"Jefferson Davis Parish, LA",25,32345,77.29
"Jefferson Parish, LA",2511,433688,578.99
"Lafayette Parish, LA",1096,244205,448.8
"Lafourche Parish, LA",205,97504,210.25
"LaSalle Parish, LA",12,14834,80.9
"Lincoln Parish, LA",97,48152,201.45
"Livingston Parish, LA",68,145830,46.63
"Madison Parish, LA",5,9799,51.03
"Morehouse Parish, LA",21,25025,83.92
"Natchitoches Parish, LA",58,37026,156.65
"Orleans Parish, LA",3990,376971,1058.44
"Ouachita Parish, LA",498,158768,313.67
"Plaquemines Parish, LA",19,23303,81.53
"Pointe Coupee Parish, LA",16,20356,78.6
"Rapides Parish, LA",468,128654,363.77
"Red River Parish, LA",4,7564,52.88
"Richland Parish, LA",24,19805,121.18
"Sabine Parish, LA",11,22135,49.7
"St. Bernard Parish, LA",35,44258,79.08
"St. Charles Parish, LA",55,52282,105.2
"St. Helena Parish, LA",5,10912,45.82
"St. James Parish, LA",18,19742,91.18
"St. John the Baptist Parish, LA",43,42094,102.15
"St. Landry Parish, LA",148,82071,180.33
"St. Martin Parish, LA",30,51540,58.21
"St. Mary Parish, LA",59,48232,122.33
"St. Tammany Parish, LA",1099,269388,407.96
"Tangipahoa Parish, LA",183,135217,135.34
"Tensas Parish, LA",4,4043,98.94
"Terrebonne Parish, LA",240,108708,220.77
"Union Parish, LA",6,21091,28.45
"Vermilion Parish, LA",51,57204,89.15
"Vernon Parish, LA",50,48027,104.11
"Washington Parish, LA",40,45133,88.63
"Webster Parish, LA",51,36184,140.95
"West Baton Rouge Parish, LA",9,27792,32.38
"West Carroll Parish, LA",6,9594,62.54
"West Feliciana Parish, LA",19,15494,122.63
"Winn Parish, LA",11,13488,81.55
"Androscoggin County, ME",295,111034,265.68
"Aroostook County, ME",212,66859,317.09
"Cumberland County, ME",2224,305231,728.63
"Franklin County, ME",72,29687,242.53
"Hancock County, ME",197,56192,350.58
"Kennebec County, ME",440,124486,353.45
"Knox County, ME",173,41084,421.09
"Lincoln County, ME",112,35828,312.6
"Oxford County, ME",80,58629,136.45
"Penobscot County, ME",669,152765,437.93
"Piscataquis County, ME",34,17165,198.08
"Sagadahoc County, ME",76,37071,205.01
"Somerset County, ME",77,50592,152.2
"Waldo County, ME",97,39912,243.03
"Washington County, ME",59,31121,189.58
"York County, ME",386,214591,179.88
"Allegany County, MD",187,67729,276.1
"Anne Arundel County, MD",1818,590336,307.96
"Baltimore City, MD",7212,576498,1251
"Baltimore County, MD",4122,849316,485.33
"Calvert County, MD",182,93928,193.77
"Caroline County, MD",19,33386,56.91
"Carroll County, MD",279,173873,160.46
"Cecil County, MD",132,103905,127.04
"Charles County, MD",193,168698,114.41
"Dorchester County, MD",50,32489,153.9
"Frederick County, MD",644,279835,230.14
"Garrett County, MD",47,28702,163.75
"Harford County, MD",477,262977,181.38
"Howard County, MD",2763,334529,825.94
"Kent County, MD",63,19270,326.93
"Montgomery County, MD",10152,1054827,962.43
"Prince George's County, MD",1881,955306,196.9
"Queen Anne's County, MD",65,50798,127.96
"Somerset County, MD",18,24584,73.22
"St. Mary's County, MD",147,114468,128.42
"Talbot County, MD",233,37626,619.25
"Washington County, MD",348,154937,224.61
"Wicomico County, MD",328,103980,315.45
"Worcester County, MD",124,53132,233.38
"Barnstable County, MA",936,232411,402.73
"Berkshire County, MA",684,128657,531.65
"Bristol County, MA",1097,580164,189.08
"Dukes County, MA",77,21097,364.98
"Essex County, MA",2375,807074,294.27
"Franklin County, MA",152,71015,214.04
"Hampden County, MA",1601,462718,346
"Hampshire County, MA",802,161572,496.37
"Middlesex County, MA",11156,1614742,690.88
"Nantucket County, MA",27,14491,186.32
"Norfolk County, MA",5033,724505,694.68
"Plymouth County, MA",1209,533003,226.83
"Suffolk County, MA",14039,771245,1820.3
"Worcester County, MA",3564,862029,413.44
"Alcona County, MI",5,10235,48.85
"Alger County, MI",10,8821,113.37
"Allegan County, MI",88,120950,72.76
"Alpena County, MI",70,28893,242.27
"Antrim County, MI",21,23813,88.19
"Arenac County, MI",8,14975,53.42
"Baraga County, MI",8,8215,97.38
"Barry County, MI",55,62992,87.31
"Bay County, MI",163,102985,158.28
"Benzie County, MI",39,18223,214.02
"Berrien County, MI",410,153101,267.8
"Branch County, MI",40,44985,88.92
"Calhoun County, MI",239,133819,178.6
"Cass County, MI",36,51483,69.93
"Charlevoix County, MI",70,26086,268.34
"Cheboygan County, MI",22,25752,85.43
"Chippewa County, MI",51,36816,138.53
"Clare County, MI",17,31065,54.72
"Clinton County, MI",56,79426,70.51
"Crawford County, MI",13,13204,98.46
"Delta County, MI",59,36826,160.21
"Dickinson County, MI",68,25787,263.7
"Eaton County, MI",88,108944,80.78
"Emmet County, MI",215,34225,628.2
"Genesee County, MI",1072,404208,265.21
"Gladwin County, MI",10,25485,39.24
"Gogebic County, MI",21,14361,146.23
"Grand Traverse County, MI",527,95860,549.76
"Gratiot County, MI",60,41544,144.43
"Hillsdale County, MI",27,45546,59.28
"Houghton County, MI",74,37313,198.32
"Huron County, MI",37,31252,118.39
"Ingham County, MI",1060,284034,373.19
"Ionia County, MI",26,67197,38.69
"Iosco County, MI",28,25369,110.37
"Iron County, MI",17,11635,146.11
"Isabella County, MI",107,64813,165.09
"Jackson County, MI",286,160050,178.69
"Kalamazoo County, MI",1230,261108,471.07
"Kalkaska County, MI",10,17979,55.62
"Kent County, MI",2795,658046,424.74
"Keweenaw County, MI",3,2107,142.38
"Lake County, MI",2,12308,16.25
"Lapeer County, MI",58,88513,65.53
"Leelanau County, MI",59,22623,260.8
"Lenawee County, MI",87,98956,87.92
"Livingston County, MI",259,195014,132.81
"Luce County, MI",8,5309,150.69
"Mackinac County, MI",14,10906,128.37
"Macomb County, MI",1427,876792,162.75
"Manistee County, MI",25,25350,98.62
"Marquette County, MI",300,66103,453.84
"Mason County, MI",40,29383,136.13
"Mecosta County, MI",45,40031,112.41
"Menominee County, MI",13,23299,55.8
"Midland County, MI",303,83457,363.06
"Missaukee County, MI",6,15130,39.66
"Monroe County, MI",171,155274,110.13
"Montcalm County, MI",37,67220,55.04
"Montmorency County, MI",6,9297,64.54
"Muskegon County, MI",277,176511,156.93
"Newaygo County, MI",46,50296,91.46
"Oakland County, MI",8343,1270017,656.92
"Oceana County, MI",20,26815,74.59
"Ogemaw County, MI",21,20726,101.32
"Ontonagon County, MI",4,5868,68.17
"Osceola County, MI",8,23105,34.62
"Oscoda County, MI",3,8311,36.1
"Otsego County, MI",44,25289,173.99
"Ottawa County, MI",520,299157,173.82
"Presque Isle County, MI",5,13093,38.19
"Roscommon County, MI",22,23633,93.09
"Saginaw County, MI",722,189591,380.82
"Sanilac County, MI",25,40506,61.72
"Schoolcraft County, MI",12,8030,149.44
"Shiawassee County, MI",60,67877,88.4
"St. Clair County, MI",218,160053,136.2
"St. Joseph County, MI",41,60758,67.48
"Tuscola County, MI",36,52917,68.03
"Van Buren County, MI",95,75658,125.57
"Washtenaw County, MI",5627,369390,1523.32
"Wayne County, MI",6454,1774816,363.64
"Wexford County, MI",65,33901,191.73
"Aitkin County, MN",24,15887,151.07
"Anoka County, MN",494,367018,134.6
"Becker County, MN",81,35219,229.99
"Beltrami County, MN",127,46380,273.82
"Benton County, MN",31,41459,74.77
"Big Stone County, MN",14,5145,272.11
"Blue Earth County, MN",232,69280,334.87
"Brown County, MN",55,25819,213.02
"Carlton County, MN",57,36409,156.55
"Carver County, MN",248,108626,228.31
"Cass County, MN",22,30639,71.8
"Chippewa County, MN",17,12357,137.57
"Chisago County, MN",67,57469,116.58
"Clay County, MN",44,65574,67.1
"Clearwater County, MN",5,8576,58.3
"Cook County, MN",14,5617,249.24
"Cottonwood County, MN",12,11569,103.73
"Crow Wing County, MN",225,67270,334.47
"Dakota County, MN",889,442038,201.11
"Dodge County, MN",18,20935,85.98
"Douglas County, MN",109,39238,277.79
"Faribault County, MN",11,13909,79.09
"Fillmore County, MN",16,21271,75.22
"Freeborn County, MN",46,30749,149.6
"Goodhue County, MN",115,47968,239.74
"Grant County, MN",6,6153,97.51
"Hennepin County, MN",8397,1267416,662.53
"Houston County, MN",41,18778,218.34
"Hubbard County, MN",29,21715,133.55
"Isanti County, MN",56,41906,133.63
"Itasca County, MN",104,45070,230.75
"Jackson County, MN",1,9990,10.01
"Kanabec County, MN",25,16159,154.71
"Kandiyohi County, MN",122,43767,278.75
"Kittson County, MN",2,4146,48.24
"Koochiching County, MN",20,11941,167.49
"Lac qui Parle County, MN",10,6684,149.61
"Lake County, MN",21,10986,191.15
"Lake of the Woods County, MN",1,3823,26.16
"Le Sueur County, MN",12,28841,41.61
"Lincoln County, MN",6,5567,107.78
"Lyon County, MN",41,25231,162.5
"Mahnomen County, MN",1,5414,18.47
"Marshall County, MN",1,8988,11.13
"Martin County, MN",37,19915,185.79
"McLeod County, MN",54,36735,147
"Meeker County, MN",18,23376,77
"Mille Lacs County, MN",38,26867,141.44
"Morrison County, MN",38,33992,111.79
"Mower County, MN",47,40158,117.04
"Murray County, MN",9,8144,110.51
"Nicollet County, MN",64,34332,186.42
"Nobles County, MN",29,21991,131.87
"Norman County, MN",2,6416,31.17
"Olmsted County, MN",4710,163436,2881.86
"Otter Tail County, MN",108,60046,179.86
"Pennington County, MN",23,13780,166.91
"Pine County, MN",15,29302,51.19
"Pipestone County, MN",5,9313,53.69
"Polk County, MN",39,30757,126.8
"Pope County, MN",17,11403,149.08
"Ramsey County, MN",2515,543257,462.95
"Red Lake County, MN",1,3933,25.43
"Redwood County, MN",9,15366,58.57
"Renville County, MN",9,14608,61.61
"Rice County, MN",127,67262,188.81
"Rock County, MN",13,9680,134.3
"Roseau County, MN",13,15258,85.2
"Scott County, MN",174,153268,113.53
"Sherburne County, MN",75,99074,75.7
"Sibley County, MN",5,14917,33.52
"St. Louis County, MN",966,199182,484.98
"Stearns County, MN",534,158947,335.96
"Steele County, MN",60,37349,160.65
"Stevens County, MN",15,9700,154.64
"Swift County, MN",7,9749,71.8
"Todd County, MN",39,25237,154.54
"Traverse County, MN",2,3286,60.86
"Wabasha County, MN",38,21509,176.67
"Wadena County, MN",15,14177,105.81
"Waseca County, MN",7,19000,36.84
"Washington County, MN",885,272256,325.06
"Watonwan County, MN",6,11135,53.88
"Wilkin County, MN",5,6395,78.19
"Winona County, MN",77,49630,155.15
"Wright County, MN",132,144845,91.13
"Yellow Medicine County, MN",10,9411,106.26
"Adams County, MS",68,28742,236.59
"Alcorn County, MS",83,34349,241.64
"Amite County, MS",8,12637,63.31
"Attala County, MS",18,17742,101.45
"Benton County, MS",2,7646,26.16
"Bolivar County, MS",36,30308,118.78
"Calhoun County, MS",2,13018,15.36
"Carroll County, MS",9,9879,91.1
"Chickasaw County, MS",10,17011,58.79
"Choctaw County, MS",4,8106,49.35
"Claiborne County, MS",8,8908,89.81
"Clarke County, MS",7,15421,45.39
"Clay County, MS",19,18535,102.51
"Coahoma County, MS",36,20810,172.99
"Copiah County, MS",17,27995,60.73
"Covington County, MS",13,18279,71.12
"DeSoto County, MS",176,188633,93.3
"Forrest County, MS",236,77875,303.05
"Franklin County, MS",5,7676,65.14
"George County, MS",20,24762,80.77
"Greene County, MS",3,13630,22.01
"Grenada County, MS",35,21365,163.82
"Hancock County, MS",62,46055,134.62
"Harrison County, MS",538,209396,256.93
"Hinds County, MS",1758,222679,789.48
"Holmes County, MS",15,16496,90.93
"Humphreys County, MS",7,7551,92.7
"Issaquena County, MS",0,1280,0
"Itawamba County, MS",12,23838,50.34
"Jackson County, MS",325,143987,225.71
"Jasper County, MS",4,16291,24.55
"Jefferson County, MS",5,7205,69.4
"Jefferson Davis County, MS",5,11134,44.91
"Jones County, MS",113,66744,169.3
"Kemper County, MS",2,8829,22.65
