county,county_md,state_md,number_of_md,population_by_cty,"md_rate_per_100,000"
"Muscogee County, GA",Muscogee,GA,696,205617,338.49
"Newton County, GA",Newton,GA,77,115355,66.75
"Oconee County, GA",Oconee,GA,207,43023,481.14
"Oglethorpe County, GA",Oglethorpe,GA,3,15140,19.82
"Paulding County, GA",Paulding,GA,63,173780,36.25
"Peach County, GA",Peach,GA,11,28417,38.71
"Pickens County, GA",Pickens,GA,57,34024,167.53
"Pierce County, GA",Pierce,GA,15,19976,75.09
"Pike County, GA",Pike,GA,6,19477,30.81
"Polk County, GA",Polk,GA,21,43496,48.28
"Pulaski County, GA",Pulaski,GA,14,9917,141.17
"Putnam County, GA",Putnam,GA,19,22585,84.13
"Quitman County, GA",Quitman,GA,0,2243,0
"Rabun County, GA",Rabun,GA,36,17119,210.29
"Randolph County, GA",Randolph,GA,2,6287,31.81
"Richmond County, GA",Richmond,GA,1451,205673,705.49
"Rockdale County, GA",Rockdale,GA,150,94082,159.44
"Schley County, GA",Schley,GA,1,4478,22.33
"Screven County, GA",Screven,GA,5,14105,35.45
"Seminole County, GA",Seminole,GA,12,9197,130.48
"Spalding County, GA",Spalding,GA,96,67909,141.37
"Stephens County, GA",Stephens,GA,41,26865,152.61
"Stewart County, GA",Stewart,GA,2,5341,37.45
"Sumter County, GA",Sumter,GA,47,29283,160.5
"Talbot County, GA",Talbot,GA,0,5742,0
"Taliaferro County, GA",Taliaferro,GA,0,1558,0
"Tattnall County, GA",Tattnall,GA,10,23052,43.38
"Taylor County, GA",Taylor,GA,3,7799,38.47
"Telfair County, GA",Telfair,GA,4,12414,32.22
"Terrell County, GA",Terrell,GA,3,8964,33.47
"Thomas County, GA",Thomas,GA,193,45842,421.01
"Tift County, GA",Tift,GA,121,41212,293.6
"Toombs County, GA",Toombs,GA,69,26911,256.4
"Towns County, GA",Towns,GA,20,12875,155.34
"Treutlen County, GA",Treutlen,GA,1,6306,15.86
"Troup County, GA",Troup,GA,147,69720,210.84
"Turner County, GA",Turner,GA,5,8966,55.77
"Twiggs County, GA",Twiggs,GA,2,7856,25.46
"Union County, GA",Union,GA,51,25521,199.84
"Upson County, GA",Upson,GA,46,27720,165.95
"Walker County, GA",Walker,GA,33,68510,48.17
"Walton County, GA",Walton,GA,54,99853,54.08
"Ware County, GA",Ware,GA,101,36033,280.3
"Warren County, GA",Warren,GA,3,5240,57.25
"Washington County, GA",Washington,GA,20,19785,101.09
"Wayne County, GA",Wayne,GA,33,30380,108.62
"Webster County, GA",Webster,GA,4,2367,168.99
"Wheeler County, GA",Wheeler,GA,2,7471,26.77
"White County, GA",White,GA,19,28442,66.8
"Whitfield County, GA",Whitfield,GA,233,102848,226.55
"Wilcox County, GA",Wilcox,GA,0,8739,0
"Wilkes County, GA",Wilkes,GA,10,9513,105.12
"Wilkinson County, GA",Wilkinson,GA,4,8831,45.3
"Worth County, GA",Worth,GA,12,20554,58.38
"Hawaii County, HI",Hawaii,HI,529,202906,260.71
"Honolulu County, HI",Honolulu,HI,4564,1000890,455.99
"Kalawao County, HI",Kalawao,HI,0,82,0
"Kauai County, HI",Kauai,HI,219,73454,298.15
"Maui County, HI",Maui,HI,518,164221,315.43
"Ada County, ID",Ada,ID,1823,511931,356.1
"Adams County, ID",Adams,ID,8,4625,172.97
"Bannock County, ID",Bannock,ID,205,88263,232.26
"Bear Lake County, ID",Bear Lake,ID,11,6545,168.07
"Benewah County, ID",Benewah,ID,11,9931,110.76
"Bingham County, ID",Bingham,ID,36,48876,73.66
"Blaine County, ID",Blaine,ID,135,24766,545.1
"Boise County, ID",Boise,ID,2,8094,24.71
"Bonner County, ID",Bonner,ID,107,49491,216.2
"Bonneville County, ID",Bonneville,ID,264,127930,206.36
"Boundary County, ID",Boundary,ID,12,12561,95.53
"Butte County, ID",Butte,ID,0,2654,0
"Camas County, ID",Camas,ID,0,1139,0
"Canyon County, ID",Canyon,ID,226,243115,92.96
"Caribou County, ID",Caribou,ID,7,7111,98.44
"Cassia County, ID",Cassia,ID,29,25164,115.24
"Clark County, ID",Clark,ID,0,792,0
"Clearwater County, ID",Clearwater,ID,22,8895,247.33
"Custer County, ID",Custer,ID,0,4428,0
"Elmore County, ID",Elmore,ID,35,28827,121.41
"Franklin County, ID",Franklin,ID,9,14666,61.37
"Fremont County, ID",Fremont,ID,13,13592,95.64
"Gem County, ID",Gem,ID,16,19792,80.84
"Gooding County, ID",Gooding,ID,8,15772,50.72
"Idaho County, ID",Idaho,ID,23,17040,134.98
"Jefferson County, ID",Jefferson,ID,10,32202,31.05
"Jerome County, ID",Jerome,ID,12,24662,48.66
"Kootenai County, ID",Kootenai,ID,491,179789,273.1
"Latah County, ID",Latah,ID,76,40313,188.52
"Lemhi County, ID",Lemhi,ID,9,8162,110.27
"Lewis County, ID",Lewis,ID,1,3715,26.92
"Lincoln County, ID",Lincoln,ID,2,5282,37.86
"Madison County, ID",Madison,ID,42,53881,77.95
"Minidoka County, ID",Minidoka,ID,11,21955,50.1
"Nez Perce County, ID",Nez Perce,ID,101,42454,237.9
"Oneida County, ID",Oneida,ID,0,4611,0
"Owyhee County, ID",Owyhee,ID,1,12336,8.11
"Payette County, ID",Payette,ID,18,26350,68.31
"Power County, ID",Power,ID,1,7950,12.58
"Shoshone County, ID",Shoshone,ID,9,13612,66.12
"Teton County, ID",Teton,ID,25,12267,203.8
"Twin Falls County, ID",Twin Falls,ID,187,92243,202.73
"Valley County, ID",Valley,ID,38,12241,310.43
"Washington County, ID",Washington,ID,5,10898,45.88
"Adams County, IL",Adams,IL,210,64954,323.31
"Alexander County, IL",Alexander,IL,3,5030,59.64
"Bond County, IL",Bond,IL,22,16596,132.56
"Boone County, IL",Boone,IL,96,53159,180.59
"Brown County, IL",Brown,IL,5,6421,77.87
"Bureau County, IL",Bureau,IL,52,32883,158.14
"Calhoun County, IL",Calhoun,IL,4,4369,91.55
"Carroll County, IL",Carroll,IL,8,15698,50.96
"Cass County, IL",Cass,IL,2,12773,15.66
"Champaign County, IL",Champaign,IL,891,205943,432.64
"Christian County, IL",Christian,IL,27,33662,80.21
"Clark County, IL",Clark,IL,8,15300,52.29
"Clay County, IL",Clay,IL,6,13143,45.65
"Clinton County, IL",Clinton,IL,27,36793,73.38
"Coles County, IL",Coles,IL,108,46765,230.94
"Cook County, IL",Cook,IL,27021,5173146,522.33
"Crawford County, IL",Crawford,IL,22,18659,117.91
"Cumberland County, IL",Cumberland,IL,2,10345,19.33
"De Witt County, IL",De Witt,IL,10,15341,65.18
"DeKalb County, IL",DeKalb,IL,109,100414,108.55
"Douglas County, IL",Douglas,IL,13,19722,65.92
"DuPage County, IL",DuPage,IL,5611,924885,606.67
"Edgar County, IL",Edgar,IL,19,16520,115.01
"Edwards County, IL",Edwards,IL,1,6075,16.46
"Effingham County, IL",Effingham,IL,93,34430,270.11
"Fayette County, IL",Fayette,IL,9,21384,42.09
"Ford County, IL",Ford,IL,17,13511,125.82
"Franklin County, IL",Franklin,IL,24,37442,64.1
"Fulton County, IL",Fulton,IL,25,33197,75.31
"Gallatin County, IL",Gallatin,IL,2,4903,40.79
"Greene County, IL",Greene,IL,4,11843,33.78
"Grundy County, IL",Grundy,IL,60,52989,113.23
"Hamilton County, IL",Hamilton,IL,6,7911,75.84
"Hancock County, IL",Hancock,IL,10,17400,57.47
"Hardin County, IL",Hardin,IL,5,3650,136.99
"Henderson County, IL",Henderson,IL,3,6312,47.53
"Henry County, IL",Henry,IL,25,48907,51.12
"Iroquois County, IL",Iroquois,IL,24,26827,89.46
"Jackson County, IL",Jackson,IL,242,52565,460.38
"Jasper County, IL",Jasper,IL,1,9193,10.88
"Jefferson County, IL",Jefferson,IL,102,36877,276.6
"Jersey County, IL",Jersey,IL,21,21333,98.44
"Jo Daviess County, IL",Jo Daviess,IL,25,21939,113.95
"Johnson County, IL",Johnson,IL,5,13463,37.14
"Kane County, IL",Kane,IL,869,515588,168.55
"Kankakee County, IL",Kankakee,IL,171,106601,160.41
"Kendall County, IL",Kendall,IL,75,134867,55.61
"Knox County, IL",Knox,IL,96,49268,194.85
"La Salle County, IL",La Salle,IL,123,108965,112.88
"Lake County, IL",Lake,IL,3251,711239,457.09
"Lawrence County, IL",Lawrence,IL,11,15152,72.6
"Lee County, IL",Lee,IL,66,34049,193.84
"Livingston County, IL",Livingston,IL,29,35664,81.31
"Logan County, IL",Logan,IL,18,27992,64.3
"Macon County, IL",Macon,IL,295,102432,288
"Macoupin County, IL",Macoupin,IL,20,44406,45.04
"Madison County, IL",Madison,IL,399,264490,150.86
"Marion County, IL",Marion,IL,61,37390,163.15
"Marshall County, IL",Marshall,IL,2,11663,17.15
"Mason County, IL",Mason,IL,12,12881,93.16
"Massac County, IL",Massac,IL,10,13960,71.63
"McDonough County, IL",McDonough,IL,43,26828,160.28
"McHenry County, IL",McHenry,IL,446,311122,143.35
"McLean County, IL",McLean,IL,406,170889,237.58
"Menard County, IL",Menard,IL,12,12164,98.65
"Mercer County, IL",Mercer,IL,6,15582,38.51
"Monroe County, IL",Monroe,IL,30,34932,85.88
"Montgomery County, IL",Montgomery,IL,26,28084,92.58
"Morgan County, IL",Morgan,IL,45,32606,138.01
"Moultrie County, IL",Moultrie,IL,5,14510,34.46
"Ogle County, IL",Ogle,IL,38,51449,73.86
"Peoria County, IL",Peoria,IL,1188,179432,662.09
"Perry County, IL",Perry,IL,24,20985,114.37
"Piatt County, IL",Piatt,IL,9,16753,53.72
"Pike County, IL",Pike,IL,16,14618,109.45
"Pope County, IL",Pope,IL,6,3779,158.77
"Pulaski County, IL",Pulaski,IL,0,5065,0
"Putnam County, IL",Putnam,IL,1,5566,17.97
"Randolph County, IL",Randolph,IL,35,30142,116.12
"Richland County, IL",Richland,IL,30,15796,189.92
"Rock Island County, IL",Rock Island,IL,283,142909,198.03
"Saline County, IL",Saline,IL,41,23320,175.81
"Sangamon County, IL",Sangamon,IL,1430,194734,734.34
"Schuyler County, IL",Schuyler,IL,0,6843,0
"Scott County, IL",Scott,IL,0,4836,0
"Shelby County, IL",Shelby,IL,8,20789,38.48
"St. Clair County, IL",St. Clair,IL,539,254796,211.54
"Stark County, IL",Stark,IL,1,5294,18.89
"Stephenson County, IL",Stephenson,IL,74,44021,168.1
"Tazewell County, IL",Tazewell,IL,207,130413,158.73
"Union County, IL",Union,IL,29,16923,171.36
"Vermilion County, IL",Vermilion,IL,119,73095,162.8
"Wabash County, IL",Wabash,IL,11,11202,98.2
"Warren County, IL",Warren,IL,13,16531,78.64
"Washington County, IL",Washington,IL,6,13655,43.94
"Wayne County, IL",Wayne,IL,13,15963,81.44
"White County, IL",White,IL,5,13784,36.27
"Whiteside County, IL",Whiteside,IL,76,55305,137.42
"Will County, IL",Will,IL,1109,697252,159.05
"Williamson County, IL",Williamson,IL,202,66879,302.04
"Winnebago County, IL",Winnebago,IL,878,283119,310.12
"Woodford County, IL",Woodford,IL,42,38225,109.88
"Adams County, IN",Adams,IN,25,35961,69.52
"Allen County, IN",Allen,IN,1255,388608,322.95
"Bartholomew County, IN",Bartholomew,IN,234,82475,283.72
"Benton County, IN",Benton,IN,2,8714,22.95
"Blackford County, IN",Blackford,IN,9,12091,74.44
"Boone County, IN",Boone,IN,693,73052,948.64
"Brown County, IN",Brown,IN,16,15552,102.88
"Carroll County, IN",Carroll,IN,5,20444,24.46
"Cass County, IN",Cass,IN,48,37563,127.79
"Clark County, IN",Clark,IN,190,122738,154.8
"Clay County, IN",Clay,IN,17,26410,64.37
"Clinton County, IN",Clinton,IN,18,33065,54.44
"Crawford County, IN",Crawford,IN,1,10514,9.51
"Daviess County, IN",Daviess,IN,26,33397,77.85
"De Kalb County, IN",De Kalb,IN,38,43333,87.69
"Dearborn County, IN",Dearborn,IN,61,50816,120.04
"Decatur County, IN",Decatur,IN,26,26320,98.78
"Delaware County, IN",Delaware,IN,368,111871,328.95
"Dubois County, IN",Dubois,IN,107,43549,245.7
"Elkhart County, IN",Elkhart,IN,335,206921,161.9
"Fayette County, IN",Fayette,IN,16,23360,68.49
"Floyd County, IN",Floyd,IN,182,80454,226.22
"Fountain County, IN",Fountain,IN,8,16427,48.7
"Franklin County, IN",Franklin,IN,48,22842,210.14
"Fulton County, IN",Fulton,IN,16,20386,78.49
"Gibson County, IN",Gibson,IN,21,32924,63.78
"Grant County, IN",Grant,IN,96,66263,144.88
"Greene County, IN",Greene,IN,15,30786,48.72
"Hamilton County, IN",Hamilton,IN,2340,356650,656.11
"Hancock County, IN",Hancock,IN,216,81789,264.09
"Harrison County, IN",Harrison,IN,41,39761,103.12
"Hendricks County, IN",Hendricks,IN,332,179355,185.11
"Henry County, IN",Henry,IN,60,48935,122.61
"Howard County, IN",Howard,IN,163,83687,194.77
"Huntington County, IN",Huntington,IN,52,36717,141.62
"Jackson County, IN",Jackson,IN,81,46067,175.83
"Jasper County, IN",Jasper,IN,12,33091,36.26
"Jay County, IN",Jay,IN,12,20248,59.27
"Jefferson County, IN",Jefferson,IN,64,33141,193.11
"Jennings County, IN",Jennings,IN,15,27409,54.73
"Johnson County, IN",Johnson,IN,372,164298,226.42
"Knox County, IN",Knox,IN,94,35956,261.43
"Kosciusko County, IN",Kosciusko,IN,91,80106,113.6
"La Porte County, IN",La Porte,IN,166,112390,147.7
"Lagrange County, IN",Lagrange,IN,21,40524,51.82
"Lake County, IN",Lake,IN,1028,498558,206.19
"Lawrence County, IN",Lawrence,IN,53,45070,117.59
"Madison County, IN",Madison,IN,186,130782,142.22
"Marion County, IN",Marion,IN,5103,971102,525.49
"Marshall County, IN",Marshall,IN,44,46121,95.4
"Martin County, IN",Martin,IN,3,9780,30.67
"Miami County, IN",Miami,IN,25,36081,69.29
"Monroe County, IN",Monroe,IN,445,139875,318.14
"Montgomery County, IN",Montgomery,IN,38,38063,99.83
"Morgan County, IN",Morgan,IN,79,72206,109.41
"Newton County, IN",Newton,IN,3,13808,21.73
"Noble County, IN",Noble,IN,29,47227,61.41
"Ohio County, IN",Ohio,IN,1,5978,16.73
"Orange County, IN",Orange,IN,17,19830,85.73
"Owen County, IN",Owen,IN,10,21446,46.63
"Parke County, IN",Parke,IN,10,16407,60.95
"Perry County, IN",Perry,IN,17,19316,88.01
"Pike County, IN",Pike,IN,7,12144,57.64
"Porter County, IN",Porter,IN,361,174243,207.18
"Posey County, IN",Posey,IN,12,25116,47.78
"Pulaski County, IN",Pulaski,IN,9,12339,72.94
"Putnam County, IN",Putnam,IN,24,36979,64.9
"Randolph County, IN",Randolph,IN,13,24387,53.31
"Ripley County, IN",Ripley,IN,3,29081,10.32
"Rush County, IN",Rush,IN,18,16672,107.97
"Scott County, IN",Scott,IN,16,24355,65.69
"Shelby County, IN",Shelby,IN,43,45039,95.47
"Spencer County, IN",Spencer,IN,8,19798,40.41
"St. Joseph County, IN",St. Joseph,IN,884,272212,324.75
"Starke County, IN",Starke,IN,10,23372,42.79
"Steuben County, IN",Steuben,IN,34,34632,98.18
"Sullivan County, IN",Sullivan,IN,14,20758,67.44
"Switzerland County, IN",Switzerland,IN,1,9790,10.21
"Tippecanoe County, IN",Tippecanoe,IN,500,187076,267.27
"Tipton County, IN",Tipton,IN,12,15372,78.06
"Union County, IN",Union,IN,2,7047,28.38
"Vanderburgh County, IN",Vanderburgh,IN,613,179987,340.58
"Vermillion County, IN",Vermillion,IN,18,15341,117.33
"Vigo County, IN",Vigo,IN,345,105994,325.49
"Wabash County, IN",Wabash,IN,30,30816,97.35
"Warren County, IN",Warren,IN,2,8475,23.6
"Warrick County, IN",Warrick,IN,363,64514,562.67
"Washington County, IN",Washington,IN,17,28102,60.49
"Wayne County, IN",Wayne,IN,169,66456,254.3
"Wells County, IN",Wells,IN,44,28197,156.05
"White County, IN",White,IN,13,24651,52.74
"Whitley County, IN",Whitley,IN,29,34430,84.23
"Adair County, IA",Adair,IA,2,7541,26.52
"Adams County, IA",Adams,IA,2,3641,54.93
"Allamakee County, IA",Allamakee,IA,12,13926,86.17
"Appanoose County, IA",Appanoose,IA,9,12257,73.43
"Audubon County, IA",Audubon,IA,1,5635,17.75
"Benton County, IA",Benton,IA,4,25691,15.57
"Black Hawk County, IA",Black Hawk,IA,351,130368,269.24
"Boone County, IA",Boone,IA,23,26723,86.07
"Bremer County, IA",Bremer,IA,21,25081,83.73
"Buchanan County, IA",Buchanan,IA,11,20657,53.25
"Buena Vista County, IA",Buena Vista,IA,18,20771,86.66
"Butler County, IA",Butler,IA,7,14332,48.84
"Calhoun County, IA",Calhoun,IA,7,9915,70.6
"Carroll County, IA",Carroll,IA,35,20692,169.15
"Cass County, IA",Cass,IA,14,13050,107.28
"Cedar County, IA",Cedar,IA,8,18410,43.45
"Cerro Gordo County, IA",Cerro Gordo,IA,205,42706,480.03
"Cherokee County, IA",Cherokee,IA,11,11503,95.63
"Chickasaw County, IA",Chickasaw,IA,7,11887,58.89
"Clarke County, IA",Clarke,IA,5,9785,51.1
"Clay County, IA",Clay,IA,33,16440,200.73
"Clayton County, IA",Clayton,IA,9,16998,52.95
"Clinton County, IA",Clinton,IA,67,46463,144.2
"Crawford County, IA",Crawford,IA,11,16193,67.93
"Dallas County, IA",Dallas,IA,79,103796,76.11
"Davis County, IA",Davis,IA,3,9138,32.83
"Decatur County, IA",Decatur,IA,6,7659,78.34
"Delaware County, IA",Delaware,IA,17,17510,97.09
"Des Moines County, IA",Des Moines,IA,104,38491,270.19
"Dickinson County, IA",Dickinson,IA,32,17851,179.26
"Dubuque County, IA",Dubuque,IA,277,98718,280.6
"Emmet County, IA",Emmet,IA,7,9321,75.1
"Fayette County, IA",Fayette,IA,12,19258,62.31
"Floyd County, IA",Floyd,IA,9,15413,58.39
"Franklin County, IA",Franklin,IA,0,9952,0
"Fremont County, IA",Fremont,IA,2,6567,30.46
"Greene County, IA",Greene,IA,8,8717,91.77
"Grundy County, IA",Grundy,IA,5,12347,40.5
"Guthrie County, IA",Guthrie,IA,5,10567,47.32
"Hamilton County, IA",Hamilton,IA,11,14887,73.89
"Hancock County, IA",Hancock,IA,3,10663,28.13
"Hardin County, IA",Hardin,IA,11,16708,65.84
"Harrison County, IA",Harrison,IA,8,14669,54.54
"Henry County, IA",Henry,IA,25,20387,122.63
"Howard County, IA",Howard,IA,7,9478,73.86
"Humboldt County, IA",Humboldt,IA,3,9634,31.14
"Ida County, IA",Ida,IA,3,6956,43.13
"Iowa County, IA",Iowa,IA,14,16568,84.5
"Jackson County, IA",Jackson,IA,10,19368,51.63
"Jasper County, IA",Jasper,IA,22,37764,58.26
"Jefferson County, IA",Jefferson,IA,27,15647,172.56
"Johnson County, IA",Johnson,IA,2624,154748,1695.66
"Jones County, IA",Jones,IA,10,20805,48.07
"Keokuk County, IA",Keokuk,IA,3,9914,30.26
"Kossuth County, IA",Kossuth,IA,10,14529,68.83
"Lee County, IA",Lee,IA,43,33215,129.46
"Linn County, IA",Linn,IA,542,228939,236.74
"Louisa County, IA",Louisa,IA,2,10749,18.61
"Lucas County, IA",Lucas,IA,3,8710,34.44
"Lyon County, IA",Lyon,IA,5,12011,41.63
"Madison County, IA",Madison,IA,6,16773,35.77
"Mahaska County, IA",Mahaska,IA,24,21984,109.17
"Marion County, IA",Marion,IA,36,33380,107.85
"Marshall County, IA",Marshall,IA,49,39853,122.95
"Mills County, IA",Mills,IA,12,14465,82.96
"Mitchell County, IA",Mitchell,IA,2,10555,18.95
"Monona County, IA",Monona,IA,9,8574,104.97
"Monroe County, IA",Monroe,IA,1,7610,13.14
"Montgomery County, IA",Montgomery,IA,10,10322,96.88
"Muscatine County, IA",Muscatine,IA,26,42688,60.91
"O'Brien County, IA",O'Brien,IA,11,14015,78.49
"Osceola County, IA",Osceola,IA,2,6159,32.47
"Page County, IA",Page,IA,21,15197,138.19
"Palo Alto County, IA",Palo Alto,IA,8,8906,89.83
"Plymouth County, IA",Plymouth,IA,17,25650,66.28
"Pocahontas County, IA",Pocahontas,IA,2,7074,28.27
"Polk County, IA",Polk,IA,1363,496844,274.33
"Pottawattamie County, IA",Pottawattamie,IA,135,93304,144.69
"Poweshiek County, IA",Poweshiek,IA,33,18586,177.55
"Ringgold County, IA",Ringgold,IA,5,4639,107.78
"Sac County, IA",Sac,IA,6,9752,61.53
"Scott County, IA",Scott,IA,534,174170,306.6
"Shelby County, IA",Shelby,IA,8,11770,67.97
"Sioux County, IA",Sioux,IA,41,35893,114.23
"Story County, IA",Story,IA,229,99472,230.22
"Tama County, IA",Tama,IA,5,16867,29.64
"Taylor County, IA",Taylor,IA,3,5868,51.12
"Union County, IA",Union,IA,15,12018,124.81
"Van Buren County, IA",Van Buren,IA,3,7243,41.42
"Wapello County, IA",Wapello,IA,61,35256,173.02
"Warren County, IA",Warren,IA,38,53402,71.16
"Washington County, IA",Washington,IA,26,22491,115.6
"Wayne County, IA",Wayne,IA,4,6508,61.46
"Webster County, IA",Webster,IA,62,37147,166.9
"Winnebago County, IA",Winnebago,IA,5,10656,46.92
"Winneshiek County, IA",Winneshiek,IA,45,19892,226.22
"Woodbury County, IA",Woodbury,IA,221,105607,209.27
"Worth County, IA",Worth,IA,0,7385,0
"Wright County, IA",Wright,IA,6,12785,46.93
"Allen County, KS",Allen,KS,9,12464,72.21
"Anderson County, KS",Anderson,KS,9,7778,115.71
"Atchison County, KS",Atchison,KS,15,16239,92.37
"Barber County, KS",Barber,KS,4,4110,97.32
"Barton County, KS",Barton,KS,36,25216,142.77
"Bourbon County, KS",Bourbon,KS,19,14323,132.65
"Brown County, KS",Brown,KS,10,9455,105.76
"Butler County, KS",Butler,KS,129,67889,190.02
"Chase County, KS",Chase,KS,0,2598,0
"Chautauqua County, KS",Chautauqua,KS,0,3395,0
"Cherokee County, KS",Cherokee,KS,8,19130,41.82
"Cheyenne County, KS",Cheyenne,KS,1,2633,37.98
"Clark County, KS",Clark,KS,6,1977,303.49
"Clay County, KS",Clay,KS,15,8077,185.71
"Cloud County, KS",Cloud,KS,9,8928,100.81
"Coffey County, KS",Coffey,KS,8,8338,95.95
"Comanche County, KS",Comanche,KS,2,1670,119.76
"Cowley County, KS",Cowley,KS,29,34496,84.07
"Crawford County, KS",Crawford,KS,58,39110,148.3
"Decatur County, KS",Decatur,KS,2,2751,72.7
"Dickinson County, KS",Dickinson,KS,12,18459,65.01
"Doniphan County, KS",Doniphan,KS,6,7471,80.31
"Douglas County, KS",Douglas,KS,368,119363,308.3
"Edwards County, KS",Edwards,KS,1,2832,35.31
"Elk County, KS",Elk,KS,1,2441,40.97
"Ellis County, KS",Ellis,KS,79,28790,274.4
"Ellsworth County, KS",Ellsworth,KS,4,6336,63.13
"Finney County, KS",Finney,KS,55,38107,144.33
"Ford County, KS",Ford,KS,41,34159,120.03
"Franklin County, KS",Franklin,KS,20,25986,76.96
"Geary County, KS",Geary,KS,37,35934,102.97
"Gove County, KS",Gove,KS,6,2755,217.79
"Graham County, KS",Graham,KS,3,2400,125
"Grant County, KS",Grant,KS,6,7324,81.92
"Gray County, KS",Gray,KS,1,5644,17.72
"Greeley County, KS",Greeley,KS,1,1304,76.69
"Greenwood County, KS",Greenwood,KS,4,5939,67.35
"Hamilton County, KS",Hamilton,KS,3,2484,120.77
"Harper County, KS",Harper,KS,4,5331,75.03
"Harvey County, KS",Harvey,KS,70,33817,207
"Haskell County, KS",Haskell,KS,1,3668,27.26
"Hodgeman County, KS",Hodgeman,KS,3,1710,175.44
"Jackson County, KS",Jackson,KS,14,13261,105.57
"Jefferson County, KS",Jefferson,KS,13,18411,70.61
"Jewell County, KS",Jewell,KS,1,2937,34.05
"Johnson County, KS",Johnson,KS,3832,613219,624.9
"Kearny County, KS",Kearny,KS,7,3891,179.9
"Kingman County, KS",Kingman,KS,3,7392,40.58
"Kiowa County, KS",Kiowa,KS,2,2392,83.61
"Labette County, KS",Labette,KS,36,19912,180.8
"Lane County, KS",Lane,KS,1,1565,63.9
"Leavenworth County, KS",Leavenworth,KS,100,82184,121.68
"Lincoln County, KS",Lincoln,KS,2,2903,68.89
"Linn County, KS",Linn,KS,3,9747,30.78
"Logan County, KS",Logan,KS,2,2722,73.48
"Lyon County, KS",Lyon,KS,46,31998,143.76
"Marion County, KS",Marion,KS,11,11712,93.92
"Marshall County, KS",Marshall,KS,8,9979,80.17
"McPherson County, KS",McPherson,KS,36,30146,119.42
"Meade County, KS",Meade,KS,1,4022,24.86
"Miami County, KS",Miami,KS,46,34593,132.97
"Mitchell County, KS",Mitchell,KS,7,5748,121.78
"Montgomery County, KS",Montgomery,KS,28,31156,89.87
"Morris County, KS",Morris,KS,7,5356,130.69
"Morton County, KS",Morton,KS,4,2692,148.59
"Nemaha County, KS",Nemaha,KS,14,10216,137.04
"Neosho County, KS",Neosho,KS,20,15784,126.71
"Ness County, KS",Ness,KS,2,2672,74.85
"Norton County, KS",Norton,KS,6,5342,112.32
"Osage County, KS",Osage,KS,6,15768,38.05
"Osborne County, KS",Osborne,KS,0,3498,0
"Ottawa County, KS",Ottawa,KS,7,5838,119.9
"Pawnee County, KS",Pawnee,KS,20,6225,321.29
"Phillips County, KS",Phillips,KS,7,4815,145.38
"Pottawatomie County, KS",Pottawatomie,KS,28,25790,108.57
"Pratt County, KS",Pratt,KS,16,9181,174.27
"Rawlins County, KS",Rawlins,KS,3,2549,117.69
"Reno County, KS",Reno,KS,127,61414,206.79
"Republic County, KS",Republic,KS,5,4662,107.25
"Rice County, KS",Rice,KS,6,9390,63.9
"Riley County, KS",Riley,KS,171,72208,236.82
"Rooks County, KS",Rooks,KS,4,4831,82.8
"Rush County, KS",Rush,KS,3,2953,101.59
"Russell County, KS",Russell,KS,6,6703,89.51
"Saline County, KS",Saline,KS,174,53888,322.89
"Scott County, KS",Scott,KS,6,5131,116.94
"Sedgwick County, KS",Sedgwick,KS,1654,523828,315.75
"Seward County, KS",Seward,KS,26,21747,119.56
"Shawnee County, KS",Shawnee,KS,526,178264,295.07
"Sheridan County, KS",Sheridan,KS,4,2478,161.42
"Sherman County, KS",Sherman,KS,4,5895,67.85
"Smith County, KS",Smith,KS,8,3576,223.71
"Stafford County, KS",Stafford,KS,1,4034,24.79
"Stanton County, KS",Stanton,KS,1,2044,48.92
"Stevens County, KS",Stevens,KS,1,5293,18.89
"Sumner County, KS",Sumner,KS,9,22385,40.21
"Thomas County, KS",Thomas,KS,6,7877,76.17
"Trego County, KS",Trego,KS,2,2793,71.61
"Wabaunsee County, KS",Wabaunsee,KS,7,6966,100.49
"Wallace County, KS",Wallace,KS,1,1508,66.31
"Washington County, KS",Washington,KS,5,5511,90.73
"Wichita County, KS",Wichita,KS,3,2082,144.09
"Wilson County, KS",Wilson,KS,10,8526,117.29
"Woodson County, KS",Woodson,KS,1,3102,32.24
"Wyandotte County, KS",Wyandotte,KS,762,167046,456.16
"Adair County, KY",Adair,KY,14,18932,73.95
"Allen County, KY",Allen,KY,7,20797,33.66
"Anderson County, KY",Anderson,KY,17,24035,70.73
"Ballard County, KY",Ballard,KY,1,7695,13
"Barren County, KY",Barren,KY,103,44544,231.23
"Bath County, KY",Bath,KY,7,12778,54.78
"Bell County, KY",Bell,KY,38,23858,159.28
"Boone County, KY",Boone,KY,200,137412,145.55
"Bourbon County, KY",Bourbon,KY,28,20229,138.42
"Boyd County, KY",Boyd,KY,221,47899,461.39
"Boyle County, KY",Boyle,KY,101,30747,328.49
"Bracken County, KY",Bracken,KY,4,8439,47.4
"Breathitt County, KY",Breathitt,KY,17,13553,125.43
"Breckinridge County, KY",Breckinridge,KY,11,20651,53.27
"Bullitt County, KY",Bullitt,KY,37,82918,44.62
"Butler County, KY",Butler,KY,2,12294,16.27
"Caldwell County, KY",Caldwell,KY,10,12624,79.21
"Calloway County, KY",Calloway,KY,69,37560,183.71
"Campbell County, KY",Campbell,KY,207,93050,222.46
