county,county_md,state_md,number_of_md,population_by_cty,"md_rate_per_100,000"
"Pinal County, AZ",Pinal,AZ,264,449557,58.72
"Santa Cruz County, AZ",Santa Cruz,AZ,59,47883,123.22
"Yavapai County, AZ",Yavapai,AZ,623,242253,257.17
"Yuma County, AZ",Yuma,AZ,341,206990,164.74
"Arkansas County, AR",Arkansas,AR,17,16722,101.66
"Ashley County, AR",Ashley,AR,15,18674,80.33
"Baxter County, AR",Baxter,AR,137,42144,325.08
"Benton County, AR",Benton,AR,525,293692,178.76
"Boone County, AR",Boone,AR,61,37830,161.25
"Bradley County, AR",Bradley,AR,8,10408,76.86
"Calhoun County, AR",Calhoun,AR,2,4741,42.19
"Carroll County, AR",Carroll,AR,41,28435,144.19
"Chicot County, AR",Chicot,AR,10,10019,99.81
"Clark County, AR",Clark,AR,24,21321,112.57
"Clay County, AR",Clay,AR,5,14350,34.84
"Cleburne County, AR",Cleburne,AR,39,25015,155.91
"Cleveland County, AR",Cleveland,AR,0,7514,0
"Columbia County, AR",Columbia,AR,29,22672,127.91
"Conway County, AR",Conway,AR,18,20873,86.24
"Craighead County, AR",Craighead,AR,418,112218,372.49
"Crawford County, AR",Crawford,AR,42,60378,69.56
"Crittenden County, AR",Crittenden,AR,38,47525,79.96
"Cross County, AR",Cross,AR,16,16681,95.92
"Dallas County, AR",Dallas,AR,3,6308,47.56
"Desha County, AR",Desha,AR,9,11090,81.15
"Drew County, AR",Drew,AR,20,17110,116.89
"Faulkner County, AR",Faulkner,AR,222,125106,177.45
"Franklin County, AR",Franklin,AR,10,17173,58.23
"Fulton County, AR",Fulton,AR,14,12145,115.27
"Garland County, AR",Garland,AR,364,100330,362.8
"Grant County, AR",Grant,AR,5,18090,27.64
"Greene County, AR",Greene,AR,46,46317,99.32
"Hempstead County, AR",Hempstead,AR,14,19694,71.09
"Hot Spring County, AR",Hot Spring,AR,13,33148,39.22
"Howard County, AR",Howard,AR,8,12698,63
"Independence County, AR",Independence,AR,110,37723,291.6
"Izard County, AR",Izard,AR,9,13911,64.7
"Jackson County, AR",Jackson,AR,16,16811,95.18
"Jefferson County, AR",Jefferson,AR,170,65861,258.12
"Johnson County, AR",Johnson,AR,31,25845,119.95
"Lafayette County, AR",Lafayette,AR,3,6163,48.68
"Lawrence County, AR",Lawrence,AR,10,16292,61.38
"Lee County, AR",Lee,AR,2,8619,23.2
"Lincoln County, AR",Lincoln,AR,0,13037,0
"Little River County, AR",Little River,AR,6,11944,50.23
"Logan County, AR",Logan,AR,16,21215,75.42
"Lonoke County, AR",Lonoke,AR,49,74722,65.58
"Madison County, AR",Madison,AR,13,16960,76.65
"Marion County, AR",Marion,AR,8,16978,47.12
"Miller County, AR",Miller,AR,62,42649,145.37
"Mississippi County, AR",Mississippi,AR,30,39661,75.64
"Monroe County, AR",Monroe,AR,7,6683,104.74
"Montgomery County, AR",Montgomery,AR,6,8611,69.68
"Nevada County, AR",Nevada,AR,2,8187,24.43
"Newton County, AR",Newton,AR,2,7204,27.76
"Ouachita County, AR",Ouachita,AR,21,22306,94.15
"Perry County, AR",Perry,AR,5,9964,50.18
"Phillips County, AR",Phillips,AR,20,15906,125.74
"Pike County, AR",Pike,AR,8,10066,79.48
"Poinsett County, AR",Poinsett,AR,5,22660,22.07
"Polk County, AR",Polk,AR,30,19353,155.01
"Pope County, AR",Pope,AR,111,63789,174.01
"Prairie County, AR",Prairie,AR,2,8135,24.59
"Pulaski County, AR",Pulaski,AR,3603,397821,905.68
"Randolph County, AR",Randolph,AR,18,18865,95.41
"Saline County, AR",Saline,AR,175,125233,139.74
"Scott County, AR",Scott,AR,4,9822,40.72
"Searcy County, AR",Searcy,AR,4,7880,50.76
"Sebastian County, AR",Sebastian,AR,478,128400,372.27
"Sevier County, AR",Sevier,AR,9,15783,57.02
"Sharp County, AR",Sharp,AR,5,17622,28.37
"St. Francis County, AR",St. Francis,AR,21,22739,92.35
"Stone County, AR",Stone,AR,8,12481,64.1
"Union County, AR",Union,AR,75,38340,195.62
"Van Buren County, AR",Van Buren,AR,10,15694,63.72
"Washington County, AR",Washington,AR,735,250057,293.93
"White County, AR",White,AR,182,77207,235.73
"Woodruff County, AR",Woodruff,AR,3,6116,49.05
"Yell County, AR",Yell,AR,25,20155,124.04
"Alameda County, CA",Alameda,CA,7111,1648556,431.35
"Alpine County, CA",Alpine,CA,2,1235,161.94
"Amador County, CA",Amador,CA,74,41259,179.35
"Butte County, CA",Butte,CA,558,208309,267.87
"Calaveras County, CA",Calaveras,CA,61,46221,131.97
"Colusa County, CA",Colusa,CA,12,21917,54.75
"Contra Costa County, CA",Contra Costa,CA,4563,1161413,392.88
"Del Norte County, CA",Del Norte,CA,41,28100,145.91
"El Dorado County, CA",El Dorado,CA,585,193221,302.76
"Fresno County, CA",Fresno,CA,2569,1013581,253.46
"Glenn County, CA",Glenn,CA,12,28805,41.66
"Humboldt County, CA",Humboldt,CA,339,136310,248.7
"Imperial County, CA",Imperial,CA,166,179851,92.3
"Inyo County, CA",Inyo,CA,56,18970,295.2
"Kern County, CA",Kern,CA,1394,917673,151.91
"Kings County, CA",Kings,CA,165,153443,107.53
"Lake County, CA",Lake,CA,78,68766,113.43
"Lassen County, CA",Lassen,CA,31,33159,93.49
"Los Angeles County, CA",Los Angeles,CA,39004,9829544,396.8
"Madera County, CA",Madera,CA,244,159410,153.06
"Marin County, CA",Marin,CA,2216,260206,851.63
"Mariposa County, CA",Mariposa,CA,14,17147,81.65
"Mendocino County, CA",Mendocino,CA,237,91305,259.57
"Merced County, CA",Merced,CA,300,286461,104.73
"Modoc County, CA",Modoc,CA,7,8661,80.82
"Mono County, CA",Mono,CA,35,13247,264.21
"Monterey County, CA",Monterey,CA,1205,437325,275.54
"Napa County, CA",Napa,CA,648,136207,475.75
"Nevada County, CA",Nevada,CA,310,103487,299.55
"Orange County, CA",Orange,CA,14266,3167809,450.34
"Placer County, CA",Placer,CA,1729,412300,419.35
"Plumas County, CA",Plumas,CA,32,19915,160.68
"Riverside County, CA",Riverside,CA,4393,2458395,178.69
"Sacramento County, CA",Sacramento,CA,6316,1588921,397.5
"San Benito County, CA",San Benito,CA,54,66677,80.99
"San Bernardino County, CA",San Bernardino,CA,5361,2194710,244.27
"San Diego County, CA",San Diego,CA,14942,3286069,454.71
"San Francisco County, CA",San Francisco,CA,8505,815201,1043.3
"San Joaquin County, CA",San Joaquin,CA,1529,789410,193.69
"San Luis Obispo County, CA",San Luis Obispo,CA,1094,283159,386.36
"San Mateo County, CA",San Mateo,CA,4593,737888,622.45
"Santa Barbara County, CA",Santa Barbara,CA,1649,446475,369.34
"Santa Clara County, CA",Santa Clara,CA,10462,1885508,554.86
"Santa Cruz County, CA",Santa Cruz,CA,946,267792,353.26
"Shasta County, CA",Shasta,CA,499,182139,273.97
"Sierra County, CA",Sierra,CA,0,3283,0
"Siskiyou County, CA",Siskiyou,CA,95,44118,215.33
"Solano County, CA",Solano,CA,1199,451716,265.43
"Sonoma County, CA",Sonoma,CA,1922,485887,395.57
"Stanislaus County, CA",Stanislaus,CA,1110,552999,200.72
"Sutter County, CA",Sutter,CA,226,99063,228.14
"Tehama County, CA",Tehama,CA,75,65498,114.51
"Trinity County, CA",Trinity,CA,11,16060,68.49
"Tulare County, CA",Tulare,CA,711,477054,149.04
"Tuolumne County, CA",Tuolumne,CA,141,55810,252.64
"Ventura County, CA",Ventura,CA,2613,839784,311.15
"Yolo County, CA",Yolo,CA,1000,216986,460.86
"Yuba County, CA",Yuba,CA,57,83421,68.33
"Adams County, CO",Adams,CO,1887,522140,361.4
"Alamosa County, CO",Alamosa,CO,45,16547,271.95
"Arapahoe County, CO",Arapahoe,CO,2566,654900,391.82
"Archuleta County, CO",Archuleta,CO,36,13790,261.06
"Baca County, CO",Baca,CO,4,3514,113.83
