County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone	 not Hispanic or Latino"
Dixon County,NE,20.7,25.6,7.3,0.9,0.4,0.8,14.7,0.2,1.5,96.3,82.9
Doddridge County,WV,21.8,14.8,3.6,0.4,0.3,2.2,0.7,0,1.4,95.5,94.9
Dodge County,GA,18.6,19.2,5,0.5,0.5,30.5,3.6,0.2,1.4,66.9,64.5
Dodge County,MN,15.2,25.6,6.1,0.4,0.8,0.7,4.9,0,1.6,96.4,91.9
Dodge County,NE,19.4,24.2,6.7,1.7,0.7,1.3,14.1,0.4,1.7,94.2,82.3
Dodge County,WI,18.2,19.6,4.6,0.6,0.7,3.3,5,0.1,1.1,94.2,89.6
Dolores County,CO,26.2,19.5,3.6,3.3,0.3,0.4,6.3,0.1,2.3,93.6,87.8
Doniphan County,KS,19.8,20.9,5.3,1.4,0.5,3.3,2.8,-1,2.3,92.6,90.2
Donley County,TX,24.5,19.4,4.7,1.1,0.6,6,11.3,0.1,1.5,90.7,80
Dooly County,GA,21.1,16.4,3.7,0.3,0.8,50.2,7,0.1,1,47.7,42.1
Door County,WI,30.5,16.3,3.9,0.7,0.5,0.8,3.5,0,1.5,96.4,93.3
Dorchester County,MD,22.1,21,5.6,0.5,1.2,29,6.1,0.1,2.4,66.7,62.3
Dorchester County,SC,14.5,24.2,6,0.7,2.1,25.6,5.8,0.2,2.9,68.6,63.9
Dougherty County,GA,16.5,23.6,6.6,0.3,0.9,71,3.1,0.2,1.3,26.3,24.3
Douglas County,CO,12.4,25.2,5.7,0.5,5.4,1.7,9.1,0.1,2.8,89.5,81.3
Douglas County,GA,11.9,25.7,6.2,0.5,1.6,49.7,10.2,0.2,2.6,45.4,37.4
Douglas County,IL,18.3,24.7,6.6,0.4,0.7,0.7,7.3,-1,1.4,96.8,90
Douglas County,KS,12.8,18,4.8,2.7,5,4.7,6.5,0.1,4.2,83.4,78.1
Douglas County,MN,23.4,21.5,5.9,0.4,0.5,0.7,1.7,0,1.2,97.2,95.8
Douglas County,MO,24.9,22.1,5.7,0.9,0.3,0.5,1.8,0,2.3,96.1,94.6
Douglas County,NE,13.4,25.5,7.4,1.2,4.3,11.5,12.9,0.1,2.8,80,68.8
Douglas County,NV,29.7,16,3.4,2.2,1.9,1,13.2,0.2,3.1,91.6,80.2
Douglas County,OR,26.3,19.3,5.1,2.1,1.1,0.5,6.1,0.2,3.5,92.6,87.5
Douglas County,SD,24,26.1,7.7,2.6,0.1,0.5,2,-1,1.6,95.1,93.7
Douglas County,WA,18.2,25.8,6.5,2.1,1.1,0.8,32.3,0.3,2.7,92.9,63.4
Douglas County,WI,19.2,19.6,4.9,2,1.1,1.3,1.7,0,3,92.6,91.4
Dona Ana County,NM,16.2,24.3,6.3,2.3,1.3,2.4,68.8,0.2,1.9,91.8,26.7
Drew County,AR,18.2,21.6,6.1,0.5,0.7,28.1,3.8,0,1.3,69.3,66.1
DuPage County,IL,16.1,22.5,5.8,0.4,12.7,5.3,14.6,0.1,2.1,79.5,66
Dubois County,IN,17.9,24.4,6.7,0.3,0.7,0.9,8.7,0.3,0.8,97,89.2
Dubuque County,IA,18.3,22.7,6.2,0.3,1.3,3.6,2.6,0.6,1.7,92.5,90.3
Duchesne County,UT,12.4,33.4,9,4.9,0.5,0.5,8.3,0.3,2.8,90.9,84.6
Dukes County,MA,25.1,17.8,4.9,1.3,1.1,4.7,3.9,0.1,3,89.8,86.9
Dundy County,NE,26.2,18.1,4.4,1.8,0.2,0.5,7.4,0.2,1.7,95.6,89.4
Dunklin County,MO,18.8,25.5,6.8,0.5,0.9,10.6,7,0,2.1,85.9,79.5
Dunn County,ND,16.1,25.1,7.6,9.8,1.4,1.7,5.6,0,2.9,84.2,80.2
Dunn County,WI,16.1,19.5,5.2,0.6,3,0.9,2.1,0.1,1.4,94.1,92.4
Duplin County,NC,19.4,23.8,6.2,1.4,0.7,25.5,23,0.4,1.6,70.4,51
Durham County,NC,13.6,20.4,6.3,0.9,5.5,36.9,13.7,0.1,2.6,54,43
Dutchess County,NY,18.1,18.7,4.6,0.5,3.7,12.1,12.9,0.1,2.7,81,70.7
Duval County,FL,14.5,22.5,6.7,0.5,5,30.8,10.5,0.1,3,60.6,52
Duval County,TX,18.2,25.6,7.1,0.9,0.5,1.4,89.3,0.1,0.6,96.4,8.8
Dyer County,TN,17.9,23.7,6.2,0.4,0.7,14.5,3.6,0,1.8,82.5,79.5
Eagle County,CO,12.4,21.4,5.5,1.4,1.3,1.5,29.7,0.1,1.2,94.5,67
Early County,GA,19.3,24.9,6.6,0.6,0.7,51.7,2.3,0.1,1,46,44.2
East Baton Rouge Parish,LA,14.6,22.7,6.5,0.3,3.4,47.2,4.4,0,1.6,47.6,44
East Carroll Parish,LA,15.3,23.9,6.2,0.3,0.5,68.8,2.7,-1,1.3,29.1,27.5
East Feliciana Parish,LA,18.4,17.9,4.8,0.5,0.3,42.7,1.8,0,1.4,55.1,54
Eastland County,TX,22.1,21.1,5.8,1.2,0.8,2.2,17,0.1,1.5,94.3,78.4
Eaton County,MI,19.1,20.6,5.3,0.5,2.5,7.2,5.7,0,2.6,87.1,82.3
Eau Claire County,WI,16.2,20.1,5.5,0.6,4.3,1.2,2.7,0.2,2,91.7,89.6
Echols County,GA,13.8,26,5.2,3,0.7,6.2,29.8,0.2,2.2,87.7,61
Ector County,TX,9.6,30.3,8.9,1.5,1.3,5.3,62.6,0.3,1.5,90.1,30.4
Eddy County,ND,23.7,23.4,7.6,4.6,0.3,0.5,4.3,0.2,1.8,92.6,89
Eddy County,NM,14.6,26.5,7.3,2.4,0.9,2,50.5,0.1,1.8,92.7,45.3
Edgar County,IL,22.5,20.2,5.2,0.2,0.4,0.6,1.3,0,1,97.8,96.6
Edgecombe County,NC,20.4,22.5,5.7,0.8,0.3,57.8,5,0.1,1.3,39.7,36
Edgefield County,SC,19.4,17.8,3.9,0.5,0.6,35.1,6.2,0.1,1.5,62.3,57.2
Edmonson County,KY,21.4,17.8,4.5,0.5,0.4,2,1.5,0,1.2,96,94.7
Edmunds County,SD,22,23.1,6.2,1.1,0.7,0.3,2.2,-1,1,96.8,95.1
Edwards County,IL,21.9,22.5,5.8,0.5,0.4,0.5,1.4,-1,1.3,97.3,96.4
Edwards County,KS,21.7,23.3,5.7,2.6,0.2,1.8,21.1,-1,2.4,93.1,75
Edwards County,TX,29,21.7,5.8,2.4,0.7,1.2,55.3,-1,1.1,94.6,42.3
Effingham County,GA,11.9,26.4,6.7,0.4,1.1,14.3,4.9,0.1,2.1,81.9,77.7
Effingham County,IL,17.9,23.9,6.8,0.2,0.7,0.6,2.3,0,0.9,97.5,95.6
El Dorado County,CA,21.9,19.8,4.6,1.3,4.8,1,13.2,0.2,3.9,88.6,77.2
El Paso County,CO,13.2,23.8,6.6,1.4,3.1,6.9,17.7,0.4,4.9,83.3,68.6
El Paso County,TX,12.5,26.7,7.3,1.1,1.4,4,82.9,0.2,1.5,91.8,11.6
Elbert County,CO,17.2,21.2,4.4,0.8,1.2,1.4,7.6,0.2,2.1,94.3,87.7
Elbert County,GA,21.3,21.7,5.8,0.5,1,29,6,0.1,1.3,68.2,63.4
Elk County,KS,28.9,22.9,5.4,2,0.5,0.2,4.7,0,3.7,93.6,89.4
Elk County,PA,22.5,19.2,4.8,0.2,0.4,0.5,0.9,0,0.9,97.9,97.2
Elkhart County,IN,15.1,27.4,7.5,0.6,1.2,6.1,16.8,0.1,2.5,89.5,74.1
Elko County,NV,11.8,27.2,7.6,6.4,1.2,1.3,24.7,0.3,2.6,88.1,66.5
Elliott County,KY,20.4,17.7,4.5,0.3,0.2,3.8,1.2,0.2,1,94.5,93.7
Ellis County,KS,16,21.1,5.6,0.5,1.8,1.4,5.9,0.1,1.8,94.5,89.1
Ellis County,OK,23.2,22.8,5.2,3.1,0.5,0.7,7.3,0.1,2.3,93.2,86.4
Ellis County,TX,13.1,26.5,6.7,0.8,0.8,12.2,26.9,0.1,1.9,84.1,58.9
Ellsworth County,KS,21.3,18.3,4.5,0.9,0.6,5.4,6.3,-1,1.8,91.4,85.6
Elmore County,AL,15.6,22.3,5.8,0.5,0.8,21.2,3.2,0.1,1.8,75.7,73.1
Elmore County,ID,14.1,25.3,8.1,1.7,3.1,3.1,17.8,0.4,3.9,87.8,72.4
Emanuel County,GA,16.5,24.8,6.7,0.5,0.7,34.7,4.6,0.1,1.2,62.8,59.1
Emery County,UT,17.7,28.4,6.1,1.2,0.5,0.4,6.5,0.1,1.4,96.4,90.6
Emmet County,IA,21.6,20.3,5.4,1.6,0.7,1.3,10.1,0.1,2.2,94.1,86.5
Emmet County,MI,23.3,18.7,4.6,3.8,0.6,0.7,1.8,0.1,2.3,92.4,91.1
Emmons County,ND,28.1,19.5,5.1,1.2,0.9,0.3,1.1,-1,1.3,96.4,95.3
Emporia city,VA,16.8,28.7,5,0.1,0.3,63.2,6.8,0,8.4,28,24.5
Erath County,TX,14.7,20.7,5.7,1.3,1,2,21.6,0.1,1.6,93.9,73.9
Erie County,NY,18.4,20.2,5.5,0.7,3.8,14,5.8,0,2.1,79.3,75
Erie County,OH,22.6,20.2,5.3,0.4,0.8,8.9,4.5,0.1,3.3,86.7,83
Erie County,PA,18.6,21.1,5.6,0.3,1.9,7.8,4.4,0.1,2.5,87.4,84
Escambia County,AL,18.3,22.5,6,3.9,0.3,31.3,2.6,0.1,2.2,62.3,60.3
Escambia County,FL,17.1,20.8,6,0.9,3.3,23.3,5.9,0.2,3.4,68.9,64
Esmeralda County,NV,35.7,14.1,3.3,7.1,0.6,3.4,19.2,0.1,3.9,84.9,66.3
Essex County,MA,17.6,21.1,5.6,0.9,3.9,7.1,22.2,0.2,2.8,85.1,69
Essex County,NJ,13.9,23.7,6.6,0.8,5.9,41.9,23.8,0.1,2.4,48.9,30.2
Essex County,NY,24.3,16,4,0.5,0.8,2.8,3,0.1,1.4,94.5,92.3
Essex County,VA,23.7,18.4,4.9,0.9,1.2,37.4,3.9,0.2,3,57.3,54.9
Essex County,VT,26.5,17.1,4.5,0.6,0.7,0.6,1.5,-1,1.8,96.3,95.1
Estill County,KY,19.2,21.4,5.5,0.4,0.1,0.5,1.3,0,1,98.1,97
Etowah County,AL,19.4,21.3,5.8,0.6,0.8,15.7,4.1,0.3,1.9,80.7,77.5
Eureka County,NV,16.4,24.4,4.3,3.2,1,1.2,13.2,0.1,2.6,91.8,80.3
Evangeline Parish,LA,15.8,24.9,6.9,0.5,0.5,28.2,4,0,1.3,69.5,66.5
Evans County,GA,16.3,26.4,6.7,0.6,1.2,31.1,11.8,0.4,1.4,65.3,56.3
Fairbanks North Star Borough,AK,11.2,23.8,7.4,8.2,3.4,5.3,8.2,0.6,6.9,75.6,69.2
Fairfax County,VA,14,23.3,6.3,0.5,20.1,10.6,16.5,0.1,3.9,64.7,50
Fairfax city,VA,14.9,22.3,7.2,0.1,17.2,4.9,17.2,0,5.1,67.8,56.2
Fairfield County,CT,16.3,22.2,5.4,0.5,5.9,12.9,20.5,0.1,2.2,78.4,60.9
Fairfield County,OH,16.1,23.9,5.9,0.3,1.9,8.8,2.4,0.1,2.2,86.8,84.9
Fairfield County,SC,22.4,19,4.7,0.4,0.7,57,2.4,0,1.7,40.1,38.5
Fall River County,SD,29.9,16.8,3.9,6.8,1.6,1.3,3.8,0.1,3.4,86.8,84.2
Fallon County,MT,17,27.3,6.8,1,0.7,0.2,1.6,0.2,1.7,96.3,94.8
Falls Church city,VA,12.9,24.9,5.3,0.2,9.9,4.9,10.7,0,3.7,79.4,71.7
Falls County,TX,18.7,21,5.9,1.1,0.6,24.2,24,0.2,2,71.9,50.5
Fannin County,GA,30.6,16.2,4.1,0.4,0.6,0.9,2.6,0,1.3,96.7,94.4
Fannin County,TX,18.6,21.2,5.1,1.3,0.8,6.5,12,0.1,2.3,89.1,78.2
Faribault County,MN,23.2,22,5.8,0.8,0.4,0.9,7.3,0.1,1.5,96.4,90
Faulk County,SD,23.6,25.7,8.3,0.6,0.4,0.7,1,-1,0.4,97.8,97.1
Faulkner County,AR,12.9,22.8,6,0.7,1.3,12.2,4.2,0.1,2.2,83.6,79.9
Fauquier County,VA,16.9,23.1,5.7,0.5,1.7,7.8,9.2,0.1,2.8,87,79
Fayette County,AL,21.7,21.1,5.5,0.5,0.5,11.7,2.1,0,1.6,85.8,84.1
Fayette County,GA,18.7,23,4.5,0.5,5.1,25.3,7.5,0.1,2.4,66.7,60.6
Fayette County,IA,21.5,21,5.6,0.3,1.2,1.5,2.7,0,1.5,95.5,93.1
Fayette County,IL,19.4,20.8,5.8,0.3,0.4,4.6,1.8,0,1.2,93.5,92.1
Fayette County,IN,20.5,21.6,5.6,0.4,0.4,1.5,1.5,0,1.3,96.4,95.2
Fayette County,KY,13.9,20.8,5.9,0.3,4.1,15.6,7.4,0.1,2.7,77.2,70.7
Fayette County,OH,18.3,23.4,5.9,0.3,1,2.3,2.3,0,2.2,94.1,92.2
Fayette County,PA,21.7,19.1,5,0.2,0.4,4.8,1.3,0.2,1.8,92.6,91.6
Fayette County,TN,22.1,18.5,4.9,0.4,0.7,27.5,3,0,1,70.3,67.8
Fayette County,TX,26.4,20,5,1.2,0.5,6.3,21.5,0.1,1.3,90.6,71
Fayette County,WV,21.8,20.5,5.1,0.2,0.3,4.4,1.2,0,1.6,93.4,92.3
Fentress County,TN,22.4,20.5,5.4,0.4,0.4,0.5,1.6,0,1.1,97.6,96.3
Fergus County,MT,25.2,20.5,5.4,1.8,0.5,0.3,2.2,-1,1.9,95.5,93.7
Ferry County,WA,28.2,16.4,4.4,16.6,1.1,0.8,4.8,0.3,5,76.1,73
Fillmore County,MN,21.2,24.7,6.4,0.2,0.7,0.5,1.8,0,1,97.5,96
Fillmore County,NE,23.1,19.9,5.2,0.9,0.7,1,3.9,-1,0.9,96.5,93.3
Finney County,KS,11.4,30.2,8.5,1.3,4.2,4.4,50.8,0.1,1.6,88.4,40.1
Fisher County,TX,25.1,21.4,5.3,1.3,0.5,4,28.2,0,2.2,91.9,66.2
Flagler County,FL,31.2,16.6,3.8,0.4,2.5,10.9,10.9,0.1,2.3,83.9,74.4
Flathead County,MT,20.2,21.7,5.6,1.3,0.8,0.3,3,0.1,2.5,95,92.6
Fleming County,KY,18,24.4,6.5,0.1,0.3,1.5,1.5,0,1.2,96.9,95.6
Florence County,SC,17.4,23.5,6,0.4,1.6,43.2,2.8,0.1,1.4,53.3,51.2
Florence County,WI,27.1,14.3,3.5,1,0.4,0.4,1,0,1.7,96.4,95.6
Floyd County,GA,17,22.9,6,0.8,1.6,15,11.6,0.3,2,80.4,70.6
Floyd County,IA,22.2,22.8,6.1,0.3,1.6,2.8,3.8,0.1,1.3,93.9,90.6
Floyd County,IN,16.5,22.6,5.9,0.4,1.3,5.5,3.5,0.1,2.3,90.5,87.5
Floyd County,KY,18.8,21.9,5.9,0.2,0.3,1.1,0.9,0,0.8,97.6,96.8
Floyd County,TX,18.7,26.4,6.5,1.4,0.5,4.3,58.9,0.1,1.8,91.9,36.3
Floyd County,VA,23.5,19.3,4.8,0.2,0.5,2,3,0,1.7,95.5,93
Fluvanna County,VA,20.5,19.8,5.3,0.4,0.9,15.3,3.8,0.1,2.6,80.7,77.6
Foard County,TX,27.3,20,4.3,0.7,0.9,4.8,18.7,-1,1.6,92,74.4
Fond du Lac County,WI,19,21.2,5.3,0.6,1.9,2.2,5.4,0.1,1.4,93.8,89
Ford County,IL,19.3,22.6,5.9,0.4,0.6,1.1,3.7,0.1,1.5,96.5,93.1
Ford County,KS,11.3,29.8,8.5,1.7,1.5,2.8,56,0.2,1.6,92.2,38.9
Forest County,PA,22.8,10.7,1.9,0.6,0.2,21.1,6.8,0,0.8,77.4,71.6
Forest County,WI,23.1,19.7,5.6,15.4,0.3,1.3,2.6,0.1,3.3,79.5,78.4
Forrest County,MS,13.9,23.2,6.7,0.3,1.1,37.8,3,0.1,1.4,59.2,56.9
Forsyth County,GA,12.4,26.9,5.8,0.5,15.5,4.4,9.7,0.1,1.9,77.6,69
Forsyth County,NC,16.4,22.7,5.8,0.9,2.6,27.5,13.3,0.1,2.3,66.6,56.3
Fort Bend County,TX,11.6,27.3,6.7,0.6,20.9,21.3,24.9,0.1,2.3,54.7,31.9
Foster County,ND,22.6,21.5,6.2,1.5,0.6,0.4,2.3,-1,0.9,96.6,94.5
Fountain County,IN,20.3,21.7,5.7,0.4,0.3,0.6,2.7,0.1,1.3,97.4,95
Franklin County,AL,17.1,24.8,6.8,1.7,0.4,4.4,17.9,0.2,1.7,91.7,76.2
Franklin County,AR,19.9,22.3,5.5,1.6,1.1,0.9,3.2,0.2,1.8,94.4,91.6
Franklin County,FL,24.1,15.4,4.2,1,0.4,13.3,5.7,0.1,2,83.3,78.5
Franklin County,GA,19.2,21.8,6.1,0.4,1.4,9.5,4.8,0.1,1.9,86.8,82.9
Franklin County,IA,21.4,23.3,6.2,0.7,0.6,1.2,13.4,0.1,1.4,95.9,84
Franklin County,ID,14.6,31.5,7.4,1,0.2,0.3,6.8,0.1,1.5,96.9,90.8
Franklin County,IL,20.9,22,5.9,0.4,0.4,0.6,1.7,0,1.4,97.1,95.7
Franklin County,IN,19,23,6.2,0.3,0.8,0.3,1.3,0,0.9,97.7,96.6
Franklin County,KS,17,23.7,6.2,0.9,0.6,1.5,4.2,0,2.6,94.4,90.9
Franklin County,KY,18.4,20.8,5.7,0.4,2.1,10.6,3.6,0,2.5,84.4,81.5
Franklin County,MA,23.1,17.1,4.1,0.5,1.7,1.6,4.2,0.2,2.2,93.8,90.4
Franklin County,ME,22.7,17.7,4.3,0.5,0.5,0.6,1.3,0,1.6,96.8,95.6
Franklin County,MO,18,22.7,5.9,0.4,0.6,1,1.9,0.1,1.4,96.5,94.9
Franklin County,MS,20.8,22.7,5.5,0.3,0.1,34.5,1.2,0,1.4,63.6,62.8
Franklin County,NC,17.1,21.8,5.6,0.9,0.7,25.9,9,0.1,2.2,70.1,63
Franklin County,NE,28.3,20,5.9,0.6,0.2,0.4,2.4,-1,1.5,97.3,95.4
Franklin County,NY,17.4,19.2,4.7,7.6,0.5,6.4,3.6,0,1.4,84.1,81.7
Franklin County,OH,12.4,23.2,7,0.3,5.7,23.8,5.8,0.1,3.3,66.8,62.1
Franklin County,PA,20.1,22.1,5.8,0.3,1.1,4.2,6.1,0.1,2.1,92.3,87.5
Franklin County,TN,20.3,19.8,5.1,0.5,0.9,5.2,3.7,0.1,2,91.3,88
Franklin County,TX,22.1,23.1,5.2,1.2,1.1,4.2,15.1,0,1.9,91.6,77.9
Franklin County,VA,24.2,18.7,4.5,0.5,0.5,7.9,2.9,0.1,1.5,89.6,87.2
Franklin County,VT,16.7,21.9,5.8,1,0.8,0.7,1.7,0,2.4,95,93.5
Franklin County,WA,9.7,32,8.7,1.7,2.4,2.8,53.6,0.4,2.7,89.9,39.9
Franklin Parish,LA,18.4,25.3,6.9,0.3,0.4,32.1,1.7,0,1.2,66,64.9
Franklin city,VA,19.3,25.2,6.7,0,1.3,56.7,1.1,0,4.1,36.9,36.9
Frederick County,MD,14.8,23.1,5.9,0.5,5,10.7,10.5,0.1,3.1,80.7,71.7
Frederick County,VA,17.8,22.7,5.8,0.5,1.8,4.7,9.3,0.1,2.4,90.5,82.3
Fredericksburg city,VA,10.8,21,7,0.2,2.7,22.1,10.7,0.1,7.1,62.3,59.4
Freeborn County,MN,22.5,21.8,5.5,0.6,3,1.6,10.2,0.2,1.5,93.1,83.8
Freestone County,TX,20.3,22.7,5.9,1.5,0.9,15.8,16.1,0,2.1,79.7,66.2
Fremont County,CO,22.1,16.1,4.1,1.9,1,4,13.5,0.1,2,91.1,78.8
Fremont County,IA,23.4,22.1,5.8,0.3,0.4,0.9,3,0,1.3,97.1,94.4
Fremont County,ID,17.5,24.7,6.3,1.1,0.4,0.8,12.5,0.4,1.3,96,84.9
Fremont County,WY,18.8,25.5,6.7,22,0.5,0.6,7,0.1,3,73.7,69.5
Fresno County,CA,12.6,28.2,7.6,3,11.1,5.8,53.8,0.3,3.2,76.6,28.6
Frio County,TX,12.3,23.3,6.3,1,2.7,4.1,79.9,0,1,91,14.1
Frontier County,NE,24.2,19.2,5.1,0.8,0.2,0.5,3.2,-1,1.2,97.3,94.5
Fulton County,AR,26,21.1,5.4,0.8,0.3,0.7,1.7,0,2.1,96,94.5
Fulton County,GA,12,21.4,5.8,0.3,7.6,44.5,7.2,0,2.2,45.5,39.6
Fulton County,IL,21.2,19.4,4.9,0.7,0.3,4.1,3.1,0,1,93.8,91.5
Fulton County,IN,19.9,23.4,6.1,0.9,0.7,0.9,5.4,0,1.5,96,91.4
Fulton County,KY,20.7,21.3,5.4,0.5,0.9,24.5,2.3,0.1,2.5,71.5,69.9
Fulton County,NY,20.1,20.1,5,0.3,0.7,2.2,3.5,0,1.6,95.1,92.2
Fulton County,OH,18.4,23.4,6,0.4,0.4,0.9,8.8,0.1,1.4,96.9,88.8
Fulton County,PA,22,19.8,5.1,0.3,0.2,1.3,1.3,0,1.3,96.9,95.8
Furnas County,NE,25.3,22.2,5.8,0.7,0.4,0.5,4.9,0,1.2,97,92.6
Gadsden County,FL,18.7,21.6,6,0.6,0.6,55.5,10.9,0.1,1.2,41.9,32.5
Gage County,NE,21.1,22.7,5.7,0.6,0.7,0.8,2.9,0,1.5,96.3,94
Gaines County,TX,8.9,36.1,10.5,1.1,0.4,2.3,42.5,0,1.3,94.9,54.4
Galax city,VA,22.4,21.7,5.1,0,0.6,7.5,14.5,0.2,0.3,89.6,79.1
Gallatin County,IL,24.4,19.9,5,0.5,0.2,0.7,1.6,-1,1.8,96.8,95.3
Gallatin County,KY,14.2,23.9,6.3,0.3,0.5,1.7,5.2,0.1,2,95.4,91
Gallatin County,MT,13.1,19.7,5.5,1.1,1.6,0.5,4,0.1,2.1,94.7,91.3
Gallia County,OH,19.3,22.8,6,0.5,0.7,2.3,1.4,0.3,1.9,94.3,93.1
Galveston County,TX,14.9,24.1,6.2,0.8,3.5,13.2,25.4,0.1,2.1,80.3,56.7
Garden County,NE,29,19.2,4.9,1.3,-1,0.3,5.5,0.1,1.6,96.7,91.7
Garfield County,CO,13.8,24.9,6.8,1.7,0.9,1.3,29.3,0.2,2,94,67.4
Garfield County,MT,24.1,23.2,6.2,0.6,0.1,0.4,0.7,-1,0.6,98.3,97.5
Garfield County,NE,29.2,18.2,5.3,0.2,0.1,0.3,1.8,0.1,0.4,99,97.3
Garfield County,OK,16.5,25.7,7.2,3.3,1.3,3.2,13.2,3.8,4.1,84.3,73.1
Garfield County,UT,24,23,5.8,3,1.1,0.6,6.5,0.3,1.7,93.4,88.2
Garfield County,WA,25.3,21,7.5,0.7,3.2,0.1,5.6,-1,3.2,92.8,88.1
Garland County,AR,24.3,19.9,5.4,0.8,0.9,8.8,5.9,0.1,2.6,87,81.7
Garrard County,KY,18.4,22.1,5.7,0.3,0.3,2.1,2.2,0,1.4,95.8,94
Garrett County,MD,23.1,18.4,4.8,0.2,0.4,1.1,1.2,0,1,97.3,96.2
Garvin County,OK,18.2,24.6,6.6,9,0.6,2.4,9.5,0.1,5.8,82.2,74.6
Garza County,TX,11.5,16.7,4.3,1,0.8,7.4,52,0.1,1.7,89,39.7
Gasconade County,MO,23.1,20.6,5.4,0.4,0.4,0.6,1.6,0,1.4,97.1,95.8
Gaston County,NC,16.3,22.4,5.9,0.6,1.6,17.9,7.6,0.1,2.2,77.6,71.1
Gates County,NC,20.9,20.2,4.6,0.6,0.3,31.2,2.4,0.1,2.4,65.3,63.6
Geary County,KS,9,30.8,11.7,1.5,3.3,18.1,16.3,1.4,6.2,69.5,56.6
Geauga County,OH,21.1,22.5,5.3,0.1,0.7,1.2,1.6,0,1,96.9,95.4
Gem County,ID,22,22.8,5.8,1.2,1,0.3,8.6,0.2,2.3,95,87.3
Genesee County,MI,18,22.3,5.9,0.6,1,20.3,3.6,0,2.8,75.3,72.4
Genesee County,NY,19.3,20.3,5.1,1.2,0.7,3.2,3.5,0,2,92.9,90.2
Geneva County,AL,20.6,22,5.4,1.1,0.4,9.3,4.2,0.1,2,87.1,83.6
Gentry County,MO,19.9,25.1,7.2,0.4,0.4,0.6,1.9,-1,1.5,97,95.5
George County,MS,14.6,26.4,7.5,0.5,0.8,7.7,3,0,1.2,89.7,87
Georgetown County,SC,28.6,17.9,4.3,0.3,0.5,30.4,3.2,0.1,1.1,67.6,65
Gibson County,IN,17.8,23.7,6.2,0.4,0.6,2.7,1.8,0,2,94.4,92.9
Gibson County,TN,18.3,24,6.2,0.3,0.4,18.1,2.8,0,1.8,79.4,77.1
Gila County,AZ,29.4,19.7,5.2,18.2,0.9,0.8,18.9,0.1,1.7,78.2,61.6
Gilchrist County,FL,20.7,19.9,5.3,0.7,0.6,5.7,6,0.1,1.7,91.2,85.9
Giles County,TN,20.5,20.8,5.7,0.5,0.6,10.3,3,0.1,2.2,86.4,83.8
Giles County,VA,22.4,20.4,5.3,0.3,0.6,1.6,1.8,0,1.3,96.3,94.7
Gillespie County,TX,30.1,19.7,4.9,1.2,0.5,0.7,23.8,0.1,1,96.5,74.1
Gilliam County,OR,27.6,19.1,4.4,2.1,0.9,0.3,7.4,0.5,2.6,93.5,87.4
Gilmer County,GA,25.5,18.9,5.2,0.7,0.7,1.4,11.8,0.5,1.2,95.5,85.5
Gilmer County,WV,17.7,14.3,3.5,0.9,0.8,10.8,5.5,0.1,1.7,85.7,81.6
Gilpin County,CO,17.8,14.6,3.4,1.3,1.5,1.3,7.1,0.2,2.1,93.5,87.6
Glacier County,MT,12.6,31.4,9,64.7,0.4,0.3,3.6,0,3.1,31.5,30.2
Glades County,FL,27.6,14.4,2.9,5.2,0.7,13.7,21.8,0.1,1.5,78.8,59.5
Gladwin County,MI,27.1,18.6,5.3,0.6,0.5,0.5,2,0,1.2,97.1,95.3
Glascock County,GA,18.3,21.6,4.3,0.5,0.1,8.5,1.9,0.1,1.6,89.1,87.5
Glasscock County,TX,14.9,25.4,6.4,0.5,0.1,1.6,39.3,0.1,0.6,97.1,58.3
Glenn County,CA,15.8,26.6,7,3.2,3.1,1.3,42.5,0.2,3,89.1,50.5
Gloucester County,NJ,16.3,21.6,5.2,0.3,3.1,11.2,6.7,0.1,2.3,83,77.8
Gloucester County,VA,19.6,19.9,5,0.6,0.9,8,3.8,0.1,2.7,87.8,84.7
Glynn County,GA,21.1,21.4,5.5,0.5,1.6,26.6,6.8,0.2,1.9,69.2,63.6
Gogebic County,MI,28.6,16.8,4.4,3.4,0.5,0.6,1.8,0.1,1.9,93.6,92.2
Golden Valley County,MT,27.8,21.4,6.1,2.2,0.6,0.9,4.9,-1,3.8,92.6,88.9
Golden Valley County,ND,25.6,21.7,5.2,1.6,0.2,0.7,3.4,0.1,1.3,96.1,93.2
Goliad County,TX,23.9,20.7,5.5,1.1,0.5,5,35.8,0,1.4,92,58.1
Gonzales County,TX,17.1,26.7,7.2,1.7,0.5,7.5,51.3,0.1,1.3,88.8,41.1
Goochland County,VA,22.9,17.2,3.7,0.4,1.7,15.8,3.1,0,1.7,80.4,77.8
Goodhue County,MN,20.1,22.1,5.7,1.5,0.8,1.5,3.4,0.1,1.7,94.4,91.7
Gooding County,ID,17.9,26.9,6.9,2,0.8,0.6,29.2,0.3,2,94.3,67.6
Gordon County,GA,15.3,23.9,5.9,0.6,1.4,4.4,16.5,0.4,1.7,91.5,76.7
