County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone	 not Hispanic or Latino"
Clinton County,IN,16.8,26.1,6.9,0.5,0.5,0.8,16.5,0,1.1,97.1,81.4
Clinton County,KY,19.7,22.2,5.9,0.3,0.3,0.6,2.9,0.4,1.3,97.1,94.9
Clinton County,MI,17.5,22.1,5.5,0.5,1.6,2.1,4.6,0.1,2,93.6,89.5
Clinton County,MO,18.2,23.2,5.7,0.8,0.5,1.4,2.3,0.1,2,95.3,93.3
Clinton County,NY,17.7,17.9,4.8,0.4,1.4,4.4,3,0,1.5,92.2,90
Clinton County,OH,17.6,22.8,6,0.3,0.6,2.2,1.7,0.1,2.2,94.7,93.3
Clinton County,PA,19.2,19.9,5.1,0.2,0.7,1.7,1.6,0.1,1.1,96.2,94.9
Cloud County,KS,21.6,23.2,6.2,0.7,1.2,1.1,3.4,0,2,95,92.5
Coahoma County,MS,16,27,7.9,0.2,0.5,77.6,1.7,0.1,0.8,20.9,19.9
Coal County,OK,21,23.7,6.9,19.9,0.3,0.9,4.4,-1,8.9,70,67.7
Cobb County,GA,12.7,23.3,6.1,0.5,5.6,28.8,13.3,0.1,2.6,62.4,51.1
Cochise County,AZ,23.1,21.4,5.7,1.8,2.3,4.5,35.7,0.4,3.3,87.7,54.8
Cochran County,TX,16.4,26.8,6.8,3,0.5,4.4,60.9,0.2,1.1,90.7,33.7
Cocke County,TN,21.6,20.2,5.1,0.6,0.5,2.1,2.6,0.1,1.7,95,92.9
Coconino County,AZ,13,20,5.3,27.4,2.1,1.5,14.3,0.2,3.1,65.7,54.1
Codington County,SD,18.3,23.7,6.1,2.7,0.7,0.8,2.4,0,1.5,94.2,92.5
Coffee County,AL,17.3,23.7,6.1,1.4,1.7,17.6,8,0.4,3.1,75.8,69.4
Coffee County,GA,14.1,24.4,6.9,0.5,0.9,28.8,12.1,0.1,1.5,68.2,57.3
Coffee County,TN,17.4,24,6.4,0.5,1.2,4,4.7,0.1,2.3,92,88
Coffey County,KS,21.9,21.8,5.7,1,1,0.9,2.8,0,1.7,95.3,93
Coke County,TX,28,20.9,6.3,2.5,0.1,1,22.1,0,1.9,94.3,74.2
Colbert County,AL,20,20.9,5.7,0.7,0.7,16.2,3.2,0.1,1.9,80.4,77.7
Cole County,MO,17.3,22.1,5.8,0.4,1.4,12.2,2.9,0.1,2.2,83.7,81.4
Coleman County,TX,25.9,20.3,5,1.4,1.1,3.2,17.5,0,2.1,92.1,76.4
Coles County,IL,17.5,17.9,4.8,0.3,1.1,4,2.7,0.1,1.7,92.8,90.7
Colfax County,NE,13.8,29.5,8.8,3.5,1.3,5.8,45.7,0.5,1.2,87.6,47.7
